Savol;Javob1;Javob2;Javob3;Javob4;
164. Что называют первичным ключом таблицы?;Совокупность поле таблицы, которые однозначно определяют каждую запись.;Столбец таблицы, содержащий неуникальную информацию.;Строку таблицы, содержащую уникальную информацию.;Столбец таблицы, содержащий уникальную информацию.;
165. В каком режиме формы можно добавить элементы управления?;В режиме конструктора.;В режиме автоформы.;В режиме мастера.;В режиме таблицы.;
166. В качестве диапазона в Excel не может выступать…;группа ячеек: А1,В2, С3;фрагмент строки или столбца;прямоугольная облас;формула;
167. Что не является типовой диаграммой в Excel? ;сетка;гистограмма;круговая;график;
168. К какой категории относится функция ЕСЛИ в Excel ?;логической;математической;статистической;календарной;
169. Какие основные типы данных в Excel? ;текст, числа, формулы;числа, формулы;цифры, даты, числа;последовательность действий;
170. Как записывается логическая команда в Excel?;если (условие, действие1, действие 2);если (условие, действие1, действие 2);если условие, действие1, действие 2);если условие, действие1, действие 2;
171. Как понимать сообщение # знач! при вычислении формулы в Excel? ;ошибка при вычислении функции;формула использует несуществующее имя;формула ссылается на несуществующую ячейку;ошибка в числе;
172. Что означает появление ####### при выполнении расчетов в Excel?;ширина ячейки меньше длины полученного результата ;ошибка в формуле вычислений;отсутствие результата;нет правильного ответа;
173. В электронных таблицах нельзя удалить:;Имена ячеек;Текстовые данные ячеек;Столбцы;Формулы;
174. Минимальной составляющей таблицы в Excel является:;Ячейка;Строка;Книга;Лист;
175. Табличные процессоры относятся к какому программному обеспечению?;Прикладному;Функциональному;Специализированному;Системному;
176. В виде чего нельзя отобразить данные в электронной таблице?;Оператора;Чисел и букв;Графиков;Формул;
177. Какие из следующих программ являются основными в бухгалтерии?;1C:Бухгалтерия, УзАСБО, БЭМ Бухгалтерия, Парус;MS Excel, MS Word,1C:Бухгалтерия;все ответы верны;PowerPoint, Word, 1C:Бухгалтерия;
178. Что такое SWIFT?;сообщество всемирных межбанковских финансовых телекоммуникаций;Общество всемирных межбанковских финансовых переводов;сообщество республиканского межбанковских финансовых телекоммуникаций;сообщество всемирных межбанковских счетов;
179. Укажите правильное написание адреса веб ресурса?; http://www.gov.uz;www://http.gov.uz;isoft@gov.uz;http@www.gov.uz;
180. Он-лайн касса - это;это кассовые аппараты нового образца, оснащённые фискальными накопителями.;Автоматизированное рабочее место;Это кассый аппарат который работает в режиме off-line;это кассовые аппараты нового образца, который не подключается к интернет и не передает данные в налоговую инспекцию.;
181. Какие программы относятся к классу интегрированных бухгалтерских систем?;1CBuxgalteriya, 1С Предприятие, Buxkompleks, Uzasbo;Kompex+, Buxkompleks;Kompex+, Turbo-Buxgalteriya;Turbo-Buxgalteriya, Buxkompleks;
182. Моноблок – это ;компьютер;винчестера;проектор;принтер;
183. Что такое 1С: БУХГАЛТЕРИЯ ?;это универсальная программа, которая позволяет вести все типы бухгалтерского учета.;программа для вычисления счетов;это индивидуальная программа, которая позволяет вести один тип бухгалтерского учета.;нет правильного ответа;
184. On-line – это:;режим реального времени;информационная сеть;команда;утилита;
185. Форма в СУБД Access предназначена для:;удобства ввода и просмотра данных таблицы.;удобства ввода данных в БД.;создания документов для печати.;изменения готовой базы данных.;
186. Условие, по которому происходит поиск и отбор записей, размещенных в таблице, называется:;фильтром.;запросом.;формой.;Условием поиска.;
187. Структура таблицы определяется с помощью трех колонок. Укажите лишнюю колонку.;Размера поля.;Имя поля.;Типа данных.;Описания.;
187. Столбец в СУДБ называется:;полем.;записью.;значением.;столбцом.;
188. Типом полей СУБД Access не является:;финансовый.;счетчик.;логический.;вычисляемый.;
189.В СУБД Access допустимы типы полей записей:;счетчик, денежная единица, мастер подстановок.;вложение, подстановка, текст.;число, изображение, гиперссылка;гиперссылка, телефонный, логический.;
190. Основные типы форм в СУБД Access:;обычная, ленточная, табличная.;табличная, простая, ленточная.;табличная, линейная, обычная.;ленточная и табличная.;
191. Столбец в СУДБ называется:;полем;записью.;значением.;столбцом.;
192. Основные типы форм в СУБД Access:;обычная, ленточная, табличная.;табличная, линейная, обычная.;ленточная и табличная.;Нет правильного ответа.;
193. В Accesse между какими объектами устанавливаются связи;Между таблицами.;Между отчетами.;Между формами.;Все ответы верны;
194. Выделяют следующие способы создания таблиц в СУБД Access:;Все варианты верны.;В виде представления таблицы аналогично работе в табличном редакторе.;С помощью службы Access и дополнительного компонента SharePoint.;С помощью конструктора вручную.;
195. К встроенным функциям табличных процессоров относятся:;Расчетные;Математические;Экономические;Нет правильного ответа;
196. Что такое http?;Протокол;Web-страница;Сетевой адрес ресурса;Контент;
197. Как называются локальные сети на английском языке?;Local Area Networks — LAN) ;Wide Area Networks — WAN) ;World Wide Web — WWW);Metropolitan Area Networks — MAN);
198. Как называются региональные сети на английском языке?;Metropolitan Area Networks — MAN);Local Area Networks — LAN) ;Wide Area Networks — WAN) ;World Wide Web — WWW);
199. Основные функции СУБД;управление базами данных, разработка, отладка и выполнение прикладных программ , выполнение вспомогательных операций;управление базами данных, управление файлами , управление полями записей;управление файлами , управление записями , выполнение вспомогательных операций;управление файлами, управление записями, управление полями записей;
200. Банкомат может работать в режиме: ;off-line, on-line, kvazi-on-line;Пакетном;разделения времени;off-line
