Savol;Javob1;Javob2;Javob3;Javob4;
112.Berilgan so’zlarga –li, -siz qo’shimchalarini qo’shi mumkin bo’lgan qatorni toping?;aql, farosat, unum;kuch, odob, obod;e’tibor, gul, bozor;maza, davlat, faqat;
113.Qaysi qatorda maqol berilmagan?;Dono bajarar ishni, nodon sindirar tishini;Hurmat qilsang , hurmat ko’rasan;Kamtarlik ko’kka ko’tarar, manmanlik yerga kiritar;Kelajak biz yoshlar qo’lida;
114.Ushbu gapni davom ettiring. Oila ahil bo’lsa………..;Omad o’z oyog’I bilan keladi;Baraka tejamkorlikda;Tusharsan tuzoqqa;Yomon kishining og’zidan albatta, yomon so’z chiqadi;
115.Ushbu so’zningto’g’ri tarjimasini toping.SAXIY;щедрый;раздавать      ;молодцы              ;молитва;
116.Nuqtalaro’rninito’ldiring.  Rejalarimizamalgaoshmasa …..;bo’lmaydi ;kerak;lozim;mumkin;
117.Qaysiqatorda maqol berilgan?;Ishlamagan tishlamas,Ishyoqmasga baxt kulmas;Men bugun darsga bormadim;Qat-qat to’nli ,qarich bo’yli;Har doim bo’lsin onam.;
118.Berilgan so’zning to’g’ri tarjimasini toping.      УДИВИТЕЛЬН;ajib;zamin;ummon;buloq;
119.Nuqtaaro’rninito’diring. …….. yulduzlar;osmonda charaqlagan;mayinesgan;ko’kkabo’ycho’zgan;bulutlar bilan tutashgan.;
120.Qaysi qatorda maqol berilgan?;O’qigan-guliston, o’qimagan go’riston.;Shaharda ham ,qishloqda ham qurilishko’p;Barcha xalqar tinchlik to’kinlik hamjihatlikni sevadilar;Men darsni puxta qildim;
121.Berilgan so’zning to’g’ri tarjimasini toping.	TAROVAT;прелестью;убеждeние            ;совсем      ;страстный             ;
122.”Onatilimo’lmaydi” she’riqaysishoirqalamigamansub?;E.Vohidov;G’.G”ulom;Zulfiya;A.Oripov;
123.Berilgan maqolni to’ldiring.  Ko’p o’qigan  olim bo’lsa…….;Ko’pni ko’rgan  dono bo’lar;Qilmaganni qildim dema;Ishlamagan tishlamas;Ishyoqmasga baxt kulmas;
124.Berilgan so’zning to’g’ri tarjimasini toping.  ОБЕСЦЕНЕННЫЙ;beqadr;jom            ;aqida;hayhot;
125.Qaysi javobda sifatdosh berilgan?;jihozlangan uy;baland bino        ;bizning maktab       ;shirin olma;
126.Nuqtalar o’rniga kerakli so’zni qo’ying Kompyuter …..til o’rganish mumkin;yordamida;asosida        ;bilan            ;aloqada;
127.Nuqtalar  o’rnini to’ldiring. Qiyin bo’lsa ham………;marraga yetib bordi;uddalay olmadi    ;qo’shiq aytolmadi    ;vazifani bajara olmadi;
128.Televideniye birinchi marta qayerda ixtiro qilingan?;Toshkentda;Londonda;Moskvada        ;Parijda      ;
129.Nuqtalar o’rnini to’ldiring.  Bolalar …..chapak  chalib yubordilar.;sevinganidan;qo’rqqanidan        ;dahshatli tovushdan     ;shunchaki;
130.«Insoniyat taqdiri» birikmasining rus tilidagi to‘g‘ri tarjimasini toping.;судьба человечества;душа человечества;человеческое сознание;судьба человека;
131.Sodda gap berilgan qatorni aniqlang;Ko’chatlar ekildi;Ko’z qo’rqoq----qo’l botir.;Ona biladiki,endi har nahor butun vatan bo’ylab to’lishar bahor;Bilasanmi,do’stim, bu yerda mo’jizalar yaratish mumkin;
132.Quyidagilarning qaysi biri soda gap?;Quyosh nuri iflos joyga tushgani bilan qadrsizlanmaydi.;Baxt-iqbol sekinlik bilan , baxtsizlik esa tez keladi;Bahor keldi va atrof yam-yashil bo’ldi;Insonlarda umid bo’lmasa  edi, hayot lazzati yo’qalardi;
133.Quyidagi gapning to‘g‘ri tarjimasini belgilang. В нашей стране много красивых городов.;Bizning mamlakatimizda chiroyli shaharlar ko‘p;Bizning mamlakatimizda chiroyli shaharlar bor;Bizning mamlakatimizda chiroyli shaharlar anchagina;Mamlakatimiz chiroyli shaharlarga boy;
134.So’roqgapberilganqatornitoping;Qaysi yozuvchilarni taniysiz;Bukitoblarnio’qibchiqqanman;Harkimekkaninio’radi;O’zigaboqma, so’zigaboq;
135.Men ukamdan tez-tez xat olib turaman - jumlasining rus tilidagi muqobilini toping.;Я часто получаю письмо от младшего брата.*;Я только что получил письмо от младшего брата.;Я не часто получаю письмо от брата.;Я от старшего брата получил письмо.;
136.Modal so’z qatnashgangapni toping.;Albatta, men orzuyimga erishaman.;Yur,senda gaapim bor;Kelaman, qaytib kelaman, meni kut.;Buyur, tog’a. Nima xizmat?		;
137.Nuqtalar o’niga kerakli modal so’zni qo’ying.;……,xorda kuylash uchun ovoz kerak.;Albatta;demak;mayli;xo’p;
138.Qaysi qatorda maqol berilgan;Bilmaganni so’rab o’rgangan olim, orlanib so’ramagan o’ziga zolim;Hozir o’lkazmida kuz fasli;O’zbekistonda mevalar g’arq pishgan;Men nechun sevaman O’zbekistonni;
139.O’zbek tiliga qachan davlat tili maqomi berilgan?;1989 yik 21 oktabr;1988 yik 21 oktabr;1990 yil 2 noyabr;1997 yil 29 avgust;
140.”Ibrat” so’ziningtarjimasinianiqlang.;Пример;правильно     ;поколение;племя;
141.Ushbumaqolnimahaqida?    Kimko’po’qisa ,o’shako’pbila;Bilim haqida;An’anahaqida;Odobhaqida;Baxthaqida;
142.So’roq gap  berilgan qatorni belgilang;Sen bahorni sog’inmadingmi;Har kim ekkanini o’radi;O’ziga boqma , so’ziga boq;Bu kitoblarni o’qib chiqqanman;
143.Quyidagi so’zlardan gapda so’z tartibiga e’tibor berib gap tuzing.  ;.biri, go’zal, kuzdir, yilning , eng fasllaridan   ;Yilning eng go’zal fasllaridan biri - kuzdir.;Eng  go’zal fasllardan biri - kuzdir.;Go’zal fasllardan biri - kuzdir;Kuz  eng  go’zal fasllardan biridir.;
144.Sodda gap berilgan qatorni aniqlang;Ko’chatlar ekildi;Ko’z qo’rqoq-qo’l botir;Ona biladiki,endi har nahor butun vatan bo’ylab to’lishar bahor.;Bilasanmi,do’stim, bu yerda mo’jizalar yaratish mumkin.;
145.Gapning to‘g‘ri tarjimasini toping. Несмотря на то, что наступила темнота, мы продолжали идти в перед;Kech kirishiga qaramay biz yo‘limizda yurishda davom etdik.;Biz kech kirgan bo‘lsa ham yurishda davom etdik.;Kech kirishiga qaramay biz olg‘a yurdik;Kechqurun bo‘lishiga qaramay biz yurishda davom etdik;
146.DONO so’zining to’g’ri tarjimasini toping.;мудрый;стыд  ;деспот;верность        ;
147.Berilgan gapni davom ettiring  . Yaxshilik istasang,……;yaxshilarga qo’shil;yamonlik ham qilma;rohat bo’lmaydi;elga e’tiborsiz;
148.Berilgan so’zning to’g’ri tarjimasini toping. MUQADDAS;священный;пример             ;традиция    ;предки            ;
149.Maqolni tarjima qiling va gapdagi egani toping. “Одинокий конь - не табун, один человек - не народ”.;Yolg‘iz ot poda emas, bir kishi xalq emas; ot, kishi;Yolg‘iz ot poda emas, yolg‘iz kishi xalq emas; poda, kishi.;Bitta ot poda emas, bir kishi xalq emas; poda, xalq;Yolg‘iz ot poda emas, bir kishi xalq emas; yolg‘iz ot , bir kishi;
150.So’roq gap berilgan qatorni toping;Qaysi yozuvchilarni taniysiz.;Bu kitoblarni o’qib chiqqanman;Har kim ekkanini o’radi;O’ziga boqma, so’ziga boq;
151.Sodda gap berilgan qatorni toping;Ko’chalar bezatildi;Gap tashish yomon illat,shuning uchun tilga ehtiyot bo’lish kerak;Hurmat qilsang ,hurmat ko’rasan;Osmonni qora bulut qopladi ,lekin yomg’ir yog’madi.;
152.To‘g‘ri tarjima qilingan gapni toping. 12-го апреля 1961-го года произошло событие, которое взволновало весь мир – в космос поднялся человек;1961-yilning 12-aprelida olamni hayajonga solgan voqea sodir bo‘ldi – koinotga inson ko‘tarildi;1961-yil 12-aprelda olamni hayajonga solgan voqea – bu koinotga odam ko‘tarilganidir;12-aprel 1961-yilda olamni larzaga slogan voqea sodir bo‘ldi – fazoga odam ko‘tarildi ;1961-yilning 12-aprelida koinotga inson ko‘tarildi – bu voqea hammani hayajonga soldi;
153.Nuqtalar o’rniga kerakli so’zni qo’ying O’zbekiston kelajagi….davlat;buyuk;katta        ;sevimli         ;keng;
154.XAYRLI so’zining to’g’ri tarjimasini toping;благотворительный;пример;предки;решать;
155.”VATANIM’ she’rining muallifi kim?;Muhammad Yusuf;Hamid Olimjon     ;Zulfiya     ;G’afur G’ULOM;
156.Nuqtalar o’rniga kerakli so’zni qo’ying   O’zbek xalqi oilani…. deb biladi;Muqaddas;Mehrli               ;G’o’zal             ;mehribon        ;
157.His-hayajon gap qatnashgangap qatorini toping;O,naqadar go’zal bu olam;Haqiqiy do’st qanday bo’lishi kerak.;So’nggi pushaymon , o’zingga dushman.;Kelajakda yaxshi inson bo’lsam;
158.Tilak va istak ma’nosi qaysi gapdan anglashilmoqda?          ;Ey farzand,yaxshilik qil va qilgan yaxshiligingni hargiz, pushaymon bo’lmagin;Ey, bormisisiz do’stim;So’zlang,inim, yurtda qanday xabarlar bor?;Iya,siz ketmaysizmi,aya.;
159.Nuqtalar o’niga kerakli modal so’zni qo’ying.;……,xorda kuylash uchun ovoz kerak.;Albatta;demak;xo’p;mayli;
160.Qaysi qatorda maqol berilgan;Bilmaganni so’rab o’rgangan olim, orlanib so’ramagan o’ziga zolim;Men nechun sevaman O’zbekistonni.;O’zbekistonda mevalar g’arq pishgan;Hozir o’lkazmida kuz fasli;
161.O’zbek tiliga qachan davlat tili maqomi berilgan?;1989 yik 21 oktabr;1988 yik 21 oktabr;1990 yil 2 noyabr;1997 yil 29 avgust;
162.Quyidagi soʻzlarning qaysi birida chiziqcha notoʻgʻri qoʻllangan?;o‘g‘lim-ey;ko‘chama-ko‘cha;yam-yashil;dar-badar;
163.… ish to‘g‘ri yo‘lga qo‘yilgan bo‘lsa, … rivojlanish bo‘ladi. Nuqtalar o‘rniga nisbiy so‘zlardan mosini qo‘ying.;qayerda, o‘sha yerda;qachon, o‘shanda;kim, o‘sha;qayerga, o‘sha yerga;
164.Tire to‘g‘ri qo‘llangan gapni aniqlang.;Har narsaga qiziqish – biz uchun eski odat;Sharifa – ham to‘quvchi;Ko‘ylakning rangi – sariq;Maqsadim – o‘qimoq edi;
165.“Yuvosh” ma’nosini beradigan iborani aniqlang.;qo‘y og‘zidan cho‘p olmagan;ko‘zini yog‘ bosgan;igna teshigidan o‘ta oladigan;yulduzni benarvon uradigan;
166.Berilgan gaplarning qaysi birida turg‘un birikma (ibora) ishtirok etgan?;Yakka qolgan Hasanboy vijdon azobida o‘z yog‘ida qovurildi;Semiz qo‘y go‘shti o‘z yog‘ida qovurildi;Shifokor dorini bolaning qulog‘iga quydi;Yigit oqimga qarshi suzib, ariqning boshiga yetdi;
167.To‘g‘ri yozilgan so‘zlar qatorini toping.;harakat, mahsulot, xulosa;xushyor, saxiy, mahsulot;xozirjavob, hurmatli, sahiy;xushyor, saxna, hukm;
168.Notoʻgʻri yozilgan soʻzlar qatorini toping.;johil, jabha, fol;goh, ahl, fil, lof;daf, lof, kafil, did;joxil, jabxa, gox, axl;
169.Toʻgʻri yozilgan soʻzlar qatorini toping.;havaskor, ma’raka, kasalxona;dexqon, gavhar, hadiklanmoq;doʻstona, gavhar, xavaskor;xoʻplamoq, maʻraka, kasalhona;
170.Toʻgʻri yozilgan soʻzlar qatorini toping.;Sayyora-Сайёра, dunyo – дунё; Aliyev – Алиев;yetti – етти, Aliev – Алиев; yozuv – ёзув;;buyuk – буюк; yagona – ягона, oktyabr – октябр;tayanch-таянч, tuya – туя, Valiev - Валиев.;
170.Qay biri to‘g‘ri yozilgan? ;ko‘nikkach, ukamning daftari, kichikkina;Kichikgina, qishloqgacha, orzum;keldila, toqqa, orzuyim;Toshkenttan, tog‘ga, ukamni daftari;
171.Nuqtalar o‘rnida “h” harfi yoziladigan so‘zlar…;e…timol, …ozirjavob, ma…sulot;…ullas, osh…ona, …ayolparast; …ukm, …ushyor, sa…na;…indiston, a…loq, …ulosa;
172.Nuqtalar o‘rnida “x” harfi yoziladigan so‘zlarni toping.;mu…lis, …alqparvar, …abar;podsho…, ma…sulot, …ech qachon;…uquq, …oroz, …asad;ba…il, sa…iy, …osil;
173.To‘g‘ri yozilgan so‘zlar qatorini toping.;voqea, tabiat, dialog;million, tabiyat, diyalog;shariat, mushaira, doyim;shoyir, maishiy, laureat;
174.Qaysi qatorda bosh harflar bilan bogʻliq xato mavjud?;Yurtimizda Navroʻz bayrami keng nishonlanadi.;“Oʻzbekiston ovozi” gazetasida bosilgan maqola koʻpchilikda yaxshi taassurot qoldirdi.;Quyosh atrofida yer bir yilda bir marta aylanib chiqadi.;Ichki ishlar vazirligida yig‘ilish boʻldi.;
175.Qaysi qatordagi soʻz qoʻshib yozilmaydi?;Qay kuni;Bir pas;Bir oz;Bira toʻla;
176.Toʻgʻri yozilgan soʻzni toping.;Tomosha;Qovin;Shamba;Halq;
177.Ikkinchi bog‘inida “u” qatnashadigan soʻzlarni toping;Kunjit;Muqim;Muhim;Mumkin;
178.Imloviy jihatdan toʻgʻri yozilgan soʻzni aniqlang;Xokkey;Hatti-harakat;Hol-axvol;Ahloq;
179.Qaysi qatorda undoshi xato qo‘llangan?;hokkey;hasad;mehnatkash;hovuz;
180.Berilgan qaysi soʻzda tutuq belgisi nooʻrin qoʻllangan?;Masʼud;Ma’sul;Maʼmur;Taʼm;
181.Berilgan so‘zlarning antonimini aniqlang.uzoq, yorug‘, baxil, qiyin.;yaqin, qorong‘u, saxiy, oson.;yaqin, qorong‘u, badjahl, oson.;yaqin, qorong‘u, badjahl, mushkul.;yaqin, qorong‘u, samimiy, murakkab;
182.Qaysi qatordagi so‘zda imlo xato mavjud?;tuproqi;huquqi;idroki;axloqi;
183.Qaysi qatordagi so‘zda imlo xato mavjud?;mualif;muattar;soat;maosh;
184.Ommaviy axborot vositalari uslubi qanday uslub sanaladi?;publitsistik uslub;ilmiy uslub;badiiy uslub;rasmiy uslub;
185.Ariza, dalolatnoma, taklifnoma, qaror singari ish yuritish qog‘ozlari qaysi nutq uslubiga mansub?;rasmiy uslub;publitsistik uslub;ilmiy uslub;badiiy uslub;
187.Quyidagi so‘z birikmalarining to‘g‘ri tarjimasini toping. Тёплая вода, горький перец, прочная нитка, интересный рассказ;Iliq suv, achchiq qalampir, pishiq ip, qiziq hikoya;Issiq suv, achchiq qalampir, uzilmas ip, qiziq suhbat;Iliq suv, achchiq qalampir, mustahkam ip, qiziq suhbat;Issiq suv, achchiq garmdori, uzilmas ip, qiziq tarix;
188.Rus tilida “мечтачеловека” birikmasining tarjimasi qaysi qatorda to‘g‘ri berilgan?;inson orzusi;inson va orzu  ;insonda orzu;insoniy orzu;
190.Quyidagi gapning to‘g‘ri tarjimasini belgilang. В нашей стране много красивых городов.;Bizning mamlakatimizda chiroyli shaharlar ko‘p;Bizning mamlakatimizda chiroyli shaharlar bor.;Bizning mamlakatimizda chiroyli shaharlar anchagina.;Mamlakatimiz chiroyli shaharlarga boy;
191.Gapning to‘g‘ri tarjimasini toping. Несмотря на то, что наступила темнота, мы продолжали идти в перед.;Kech kirishiga qaramay biz yo‘limizda yurishda davom etdik.;Kech kirishiga qaramay biz olg‘a yurdik.;Kechqurun bo‘lishiga qaramay biz yurishda davom etdik.;Biz kech kirgan bo‘lsa ham yurishda davom etdik. ;
192.To‘g‘ri tarjima qilingan gapni toping. В химической лаборатории есть все необходимые для работы приборы.;Kimyo laboratoriyasida ish uchun zarur bo‘lgan barcha jihozlar bor;Kerakli аsbob-uskunalarni kimyo laboratoriyasida topish mumkin;Kimyo laboratoriyasidagi barcha jihozlar keraklidir;Kimyo laboratoriyasidagi tajribalar uchun hamma jihozlar zarur;
194.Рапорт so‘zining o‘zbekcha muqobilini toping.;bildirishnoma;taqdimnoma;tavsifnoma;dalolatnoma;
195.Характеристика so‘zining o‘zbekcha muqobilini toping.;tavsiyanoma;tavsifnoma;taqdimnoma;so‘rovnoma;
196.Quyidagi gapning to‘qri tarjimasini toping. У природы есть законы, которые никому не подчиняются, ни от кого не зависят.;Tabiatda hech kimga bo‘ysunmaydigan va hech kimga taqqoslab bo‘lmaydigan qonunlari bor;Tabiatning hech kimga bo‘ysunmaydigan va hech kimga bog‘liq bo‘lmagan qonunlari ko‘p;Tabiatning hech narsaga moslashtirib bo‘lmaydigan va qiyin bo‘lgan qonunlari ko‘p;Tabiatning hech kimga bo‘ysunmaydigan va hech kimga bog‘liq bo‘lmagan qonunlari bor;
197.Berilgan gapning to‘g‘ri tarjimasini toping. Mening opam katta fabrikada ishlaydi.;Моя сестра работает на большой фабрике;Моя сестра работает в большой фабрике;Моей сестре нравится работать на большой фабрике.;Моя сестра работает в маленькой фабрике.;
198.Berilgan gapning to‘g‘ri tarjimasini toping. Fabrikada uni hamma taniydi va hurmat qiladi.;На фабрике все её знают и уважают;В фабрике все её знают и уважают.;На фабрике её знают многие и очень уважают.;На фабрике она знает всех и очень всех уважает.;
199.Berilgan gapning to‘g‘ri tarjimasini toping. Fabrikaning devoriy gazetasida men opam haqida maqolani ko‘rdim. ;На стенгазете фабрики я увидел статью о своей сестре;Для фабричной стенгазеты была написана статья о моей сестре.;На фабричной стенгазете была статья о моей сестре.;Для стенгазеты фабрики я написал статью о своей сестре.;
200.Berilgan gapning to‘g‘ri tarjimasini toping. Men o‘zimning opam bilan faxrlanaman.;Я горжусь своей сестрой;Все гордятся моей сестрой.;Меня берёт гордость за свою сестру.;Я со своей сестрой очень горжусь.;O’zbek tili fanidan testlar;
