Savol;Javob1;Javob2;Javob3;Javob4
Вероятность того, что аудиторские процедуры по существу не позволяют обнаружить искажения остатков по счетам или групп операций:;неизбежный фактор риска необнаружения;причина существования риска средств контроля;это условие возникновения неотъемлемого риска.;все ответы верны;
В случае, если ограничение объема аудита настолько существенно и глубоко, что аудитор не может получить достаточные надлежащие аудиторские доказательства и поэтому не в состоянии выразить мнение о финансовой отчетности, аудитору следует:;отказаться от выражения мнения;выразить мнение с оговоркой;выразить отрицательное мнение;выразить безоговорочно положительное мнение.;
Обязательная квалификационная проницательность.............?; от аудитора требуется профессиональная компетентность и независимость, объективность, честность при проведении аудита и подготовке заключения;аудитор или аудиторы должны быть независимыми, проницательными при выполнении любой задачи;аудит работы должен быть спланирован независимо, разумно в соответствии с независимыми;аудитор должен быть самостоятельным при проведении аудита, обладать специальной технической подготовкой и профессиональными качествами поведения аудиторов;
Что такое правильное планирование и контроль?; аудиторская проверка работы должна быть спланирована соответствующим образом, при наличии помощников аудитора необходимо контролировать их деятельность;при выполнении любой задачи аудитор или аудиторы должны быть независимыми, проницательными, планировать аудит в соответствии с законом;при проведении аудита и подготовке заключения аудитор обязан проявлять профессиональную компетентность, а также контроль;аудитор при проведении аудита должен быть самостоятельным, действовать в плановом и контрольном режиме, обладать специальной технической подготовкой и профессиональными качествами поведения аудиторов;
Достаточность понимания системы внутреннего контроля...........?; аудитор обязан дать адекватную оценку системе внутреннего контроля с целью правильного определения объема аудита и времени, затрачиваемого на него;при проведении аудита и подготовке заключения аудитор обязан проявлять профессиональную смекалку, а также контроль;аудиторская проверка работы должна быть спланирована соответствующим образом, при наличии помощников аудитора необходимо контролировать их деятельность; аудитор при проведении аудита должен быть самостоятельным, действовать в плановом и контрольном режиме, обладать специальной технической подготовкой и профессиональными качествами поведения аудиторов;
Достаточное количество необходимых доказательств..............?; для подготовки мнения об аудиторском заключении необходимо собрать достаточный объем доказательств методами проверки, допроса, наблюдения и подтверждения;аудитор обязан адекватно оценить систему внутреннего контроля, получить доказательства с целью правильного определения масштабов аудита и затраченного на него времени;при проведении аудита и подготовке заключения аудитор должен обладать профессиональной проницательностью, а также контролем и большим количеством доказательств;аудиторская проверка работы должна быть спланирована соответствующим образом, при наличии помощников аудитора необходимо контролировать их деятельность; 
Перечислите содержание общепринятых стандартов аудита?; общие стандарты квалификации и этики, стандарты работы объекта, стандарты заключения;общие стандарты квалификации и этики, стандарты работы объекта, стандарты отчетности;специальные стандарты, рабочие стандарты, стандарты отчетности;общие квалификационные нормативы, нормативы эксплуатации объекта, стандарты отчетности ;
В соответствии с этим принципом аудитор не должен изменять своему профессиональному суждению в связи с предубежденностью, конфликтом интересов или испытываемым давлением со стороны других лиц:;принцип объективности;принцип честности;принцип конфиденциальности.;принцип профессиональной компетентности;
Аналитические процедуры в аудите являются:;видом процедур проверки по существу;средством внутреннего контроля;средством тестирования системы внутреннего контроля.;нет верного ответа;
Предпосылки «возникновение» и «полнота» относятся:;к подготовлению финансовой отчетности;к остаткам на счетах в конце периода;к классам операций и событиям в течение периода;к классам операций, событиям в течение периода и раскрытию информации.;
Метод формирования отбираемой совокупности, когда используются генератор случайных чисел или таблицы случайных чисел:;случайный отбор;систематический отбор;бессистемный отбор;отбор элементов блоками.;
Изучение записей и документов, полученных из внутренних и внешних источников и представленных в письменной, электронной или иной формах:;инспектирование записей и документов;пересчет;подтверждение;анализ.;
Срок хранения рабочих документов по аудиторскому заданию обычно составляет:;не менее пяти лет с даты аудиторского заключения;не менее трех лет с даты аудиторского заключения;не менее года с даты аудиторского заключения.;не менее десяти лет с даты аудиторского заключения;
Применение аудиторских процедур менее чем ко всем элементамодной статьи отчетности или группы однотипных операций таким образом,чтобы каждый элемент мог быть отобран для проверки:;аудиторская выборка;аудиторские доказательства;сплошная проверка.;оценка уровня существенности;
Какое из нижеследующих утверждений неверно?;формальный подход к выборочному исследованию более предпочтителен, чем неформальный;результаты анализа выборочной совокупности экстраполируются на генеральную совокупность;выборка при осуществлении аудита проводится с целью сокращения объема работ;нет правильного ответа.;
Что такое аудиторская выборка?;применение аудиторских процедур менее чем ко всем элементам одной статьи отчетности или группы однотипных операций;применение аудиторских процедур ко всем элементам одной статьи отчетности или группы однотипных операций;применение аудиторских процедур менее чем ко всем элементам только одной статьи отчетности;Нет правильного ответа;
Какое из нижеследующих утверждений верно?;объем выборки зависит от уровня риска необнаружения; ;объем выборки не зависит от уровня существенности;объем выборки зависит от уровня собственного риска;нет правильного ответа.;
К этапам организации аудиторской выборки не относится:;проверка репрезентативности выборки;определение методов отбора;определение размера совокупности факторов, влияющих на выборку; ;определение цели выборочной проверки.;
Что понимается под допустимой ошибкой при выборочной аудиторской проверке?;максимальный размер ошибки генеральной совокупности, которую аудитор считает приемлемой;ошибка, которая не может произойти повторно;ошибка в пределах риска необнаружения;нет правильного ответа;
Какие из приведенных процедур представляют наиболее точные доказательства права собственности клиента на автомобиль?;проверка паспорта технического средства;получение устного подтверждения от продавца автомобиля;проверка фактического наличия автомобиля;все ответы верны;
Процесс изучения законности, целесообразности и достоверности хозяйственных операций – это:;сбор аудиторских доказательств;формулирование аудиторских версий;изучение хозяйственных операций;изучение выявленных в операциях нарушений;
Сбор информации у работников предприятия или за его пределами называется:;опросом;наблюдением;встречной проверкой;аналитическими процедурами.;
Определите основные элементы системы внутреннего контроля:;контрольная среда, процедуры контроля;техника внутреннего контроля;процедуры бухгалтерского учета клиентов.;Нет правильного ответа;
Какого вида выборки не существует?;Нормальной.;Атрибутивной.;Количественной.;Нет правильного ответа.;
К функциям внутреннего аудита нельзя отнести:;Нет правильного ответа.;Проверку всех звеньев управления.;Работу над специальными проектами.;Проверку внутреннего контроля.;
В соответствии с постановлением Президента Республики Узбекистан от 24 февраля 2020 года № ПП-4611 “О дополнительных мерах по переходу на международные стандарты финансовой отчетности”  какие из следующих с 1 января 2021 года организуют ведение бухгалтерского учета и начиная с итогов 2021 года составляют финансовую отчетность на основе МСФО, за исключением юридических лиц, для которых законодательством предусмотрен более ранний срок перехода на МСФО?;коммерческие банки;акционерные общества;страховые организации ;Все ответы верны;
Государственный экономиический контроль в Республике Узбекистан осуществляется:;Государственными органами, специализированными органами контроля, органами местного самоуправления, независимыми организациями и контроль собственника.;Государственными органами, органами местного самоуправления, независимыми организациями, контроль собственника, праваоохранительными органы;Государственными органами, специализированными органами контроля, контроль собственника.;Органами местного самоуправления, независимыми организациями, правоохранительными органами;
Какие функции управления сущетвуют у экономиического субъекта ?;Планирование,регулирование, контроль, учет, анализ;Планирование,регулирование, аудит, менежмент и маркетинг  ;Статистика, аудит, учет, анализ, менежмент и финансирование ;Планирование,регулирование, аудит, учет, финансирование и маркетинг;
«Существенность в аудите» - это	максимально допустимый размер ошибочной суммы, которая может быть показана в финансовых отчетах и рассматриваться как несущественная;максимально допустимый размер ошибочной суммы, которая может быть показана в финансовых отчетах и рассматриваться как несущественная	;уровень оплаты труда аудиторов в аудиторской фирме;оценка стоимости работ по договору;репрезентативность генеральной совокупности;
Ассистенты аудитора – это;аудиторы, участвующие в проведении аудиторской проверки и помогающие ведущим аудиторам	;сотрудники являющиеся аудиторами фирмы	;аудиторы, начинающие аудиторскую практику и не имеющие опыта;сотрудники, участвующие в проведении отдельной аудиторской проверки и не являющиеся аудиторами;	
Аудит бывает следующих типов;внутренний и внешний;операционный, на соответствие финансовой отчетности;обязательный и инициативный	;системный, внутриведомственный и государственный	;
Аудит оценки системы внутреннего контроля по учету уставного капитала производится:;в процессе аудиторской проверки;	в конце аудиторской проверки;	в начале и в процессе аудиторской проверки;	в начале аудиторской проверки;
Аудитор обязан принимать во внимание уровень существенности	;на этапе завершения аудита при оценке эффекта, оказываемого искажениями и нарушениями на достоверность бухгалтерской отчетности	;в ходе выполнения конкретных аудиторских процедур;	на этапе планирования	;ответственность исключительно перед профессиональным сообществом аудиторов	;
Аудитор рассматривает существенность:	;только на уровне финансовой отчетности;	как на уровне финансовой отчетности, так и в отношении остатка средств по отдельным счетам бухгалтерского учета, групп однотипных операций и случаев раскрытия информации;	по согласованию с экономическим субъектом;	при сборе аудиторских доказательств;
Аудиторская организация при проведении обязательного аудита экономического субъекта в качестве эксперта пригласила аудитора из другой аудиторской организации. Правильно ли это?;	нет, экспертом может быть  не состоящий в штате аудиторской организации, имеющий достаточные знания, опыт и навыки в областях, отличных от бухгалтерского учета и аудита;правильно, если он будет работать самостоятельно и даст заключение по тем вопросам состояния бухгалтерского учета, о которых его просят;конечно,  это право аудиторской организации, зафиксированное в нормативных актах по аудиторской деятельности в Республики Узбекистан;	нет, неправильно;	
Аудиторские доказательства более убедительны, если они получены:	;в результате опроса третьих лиц;	из различных источников, обладают различным удержаниием и при этом не противоречат друг другу;только из одного источника;	В результате опроса персонала аудируемого лица;	
Аудиторские организации в ходе аудиторской проверки устанавливают достоверность отчетности с:;	Достоверностью 100%;абсолютной точностью;	учетом аудиторского риска;	приблизительной точностью, исходя из принципа существенности	;
Аудиторские организации не вправе проводить аудиторские проверки одного и того же хозяйствующего субъекта более чем …;четырёх лет подряд	;двух лет подряд;	пяти лет подряд;	семи лет подряд;	
Аудиторские фирмы могут создаваться в следующих организационно- правовых формах	;любых, кроме закрытых акционерных обществ;любых, предусмотренных в ГК Республики Узбекистан;любых, кроме производственных кооперативов;любых, кроме открытых акционерных обществ;	
Аудиторский отчет о финансовой отчетности клиента представляет собой:	;подтверждение аудиторской организацией правильности и точности исчисления всех показателей бухгалтерской и статической отчетности;информация о состоянии финансовой отчетности клиента;акт проверки финансово- хозяйственной деятельности;мнение аудитора или аудиторской организации о достоверности финансовой отчетности;	
Аудиторский отчет состоит из:;отчет и аудиторского заключения	;промежуточных и заключительной частей	;аналитической и итоговой частей	;вводной, аналитической и заключительной частей;
Аудиторский риск – это;Риск того, что аудитор выразит ненадлежащее аудиторское мнение в случае, когда финансовая отчетность существенно искажена.;Предпринимательский риск аудитора;Риск того, что аудитор не обнаружит искажения, имеющиеся в утверждении, которые могут оказаться существенными либо по отдельности, либо в совокупности с другими искажениями;Риск того, что аудитор выразит мнение о существенном искажении финансовой отчетности, тогда как, на самом деле, этого нет.	;
Аудиторы обеспечивают при проведении аудиторской проверки,  качество проделанной работы, путем:	;требования выполнения качественной работы со стороны других аудиторов, исходя их опыта работы;проведение самостоятельного изучения всех документов предприятия	;распределения задач между аудиторами и помощниками, а также обеспечения последующего надзора их выполнения;соблюдения контрактных обязательств перед клиентом;	
В каких организациях возникает потребность во внутреннем аудите	;На крупных предприятиях;В акционерных обществах;В «ООО»;В малых предприятиях;	
В обязанности аудитора непременно входит выдача клиенту положительного аудиторского заключения по результатам проверки;в зависимости от текста договора на аудиторскую проверку	;да, это записано в некоторых нормативно-правовых актах	;нет, это определяется результатом проверки	;на усмотрение аудитора;	
В отчете о движении денежных средств, подтверждаемом аудиторской в составе годовой бухгалтерской отчетности, получение кредитов и займов отражается в графе:;инвестиционная деятельность;текущая деятельность;налоговая деятельность;финансовая деятельность;	
В соответствии с требованиями  стандарта аудиторской деятельности в аудиторском заключении должны быть указаны следующие данные, содержащиеся в учредительных документах аудируемого лица:	;сведения о филиалах и представительствах	;место нахождения;высший орган управления;основные виды деятельности	;
В ходе аудиторской проверки обеспечивается уровень уверенности?;уровень уверенности не обеспечивается;высокий, но неабсолютный	;Средний;обеспечивается уверенность;	
В ходе проведения аудиторской проверки аудитор установил ошибки в учете, сделанные в прошлом году в бухгалтерском учете. В какой отчетный период аудитор должен предложить организации внести исправления в бухгалтерском учете?	;в отчетности, составленной за отчетный период, в котором была обнаружена ошибка;	;в том месяце прошлого года, когда установлена ошибка;	;только по отчету в целом за прошлый год	;в аудиторской отчете	;
В чем разница между решением аудитора отказаться от выдачи аудиторского В штате аудиторской организации должно состоять	;не четырех аудиторов;не менее двух аудиторов;не менее трех аудиторов;не менее шести аудиторов	; 
Взаимоотношения аудитора и клиента строятся;определяются руководителем аудиторской фирмы	;на добровольности и возмездности;устанавливаются аудиторскими стандартами;определены законодательством;	
Вид резерва, включаемого в состав расходов по обычным видам деятельности в бухгалтерском учете	;под снижение стоимости материально-производственных запасов	;по сомнительным долгам	;предстоящих выплат и платежей;под обесценение финансовых вложений	;
Для проверки полноты оприходования поступивших от поставщиков товарно-материальных ценностей аудитор применяет следующую процедуру:;прослеживание;сканирование	;Опрос;Подотчет;	
Договор на аудит заключается в соответствии:;международными аудиторскими стандартами;Гражданским кодексом Республики Узбекистан;с стандартом аудиторской деятельности Республики Узбекистан;Кодекс профессиональной этике;	
Документы, обладающие наименьшим уровнем доказательности	;справка, докладные	;первичные	;Аналитические;сводные, заключительные;	
Доля аттестованных аудиторов в уставном капитале аудиторской фирмы для ее государственной регистрации должна составлять;не менее 75%	;не менее 30 %	;не менее 51%	;100%;	
Доходы от проведения строительно-монтажных работ признаются в ходе аудита после:;завершения отчетного периода в размерах, соответствующих объему выполненных работ;принятия заказчиком в конце отчетного периода по частям	;принятия половины строительства;зачисления денежных средств на расчетный счет;	
Если риск системы контроля и неотъемлемый риск установлены на максимальном уровне,какой уровень риска необнаружения приведет к аудиторскому риску в 3%?;1;0,07;0,1;0,03;	
Завершение аудиторской проверки предполагает	;составление аудиторского отчета	;проверку учетных регистров после даты составления баланса и обсуждение с руководством предприятия вновь обнаруженных фактов;оценку жизнеспособности деятельности предприятия в обозримом будущем;составление программы аудита;	
Задача аудитора	;проверить бухгалтерскую отчетность и выразить мнение о ее достоверности;оказать помощь руководству в подготовке финансовой отчетности;определить финансовую устойчивость предприятия	;обнаружить и предотвратить ошибку;	
Затраты по полученным займам и кредитам отражаются в бухгалтерском учете, за исключением полученных  для формирования инвестиционного актива, в том периоде, к которому они:	;оплачены денежными средствами;Сформированы;относятся;оплачены не денежными средствами	;
Из каких компонентов состоит система внутреннего контроля?	;контрольная среда, философия и стиль руководства, методы обработки информации, действия по контролю, мониторинг средств контроля;контрольная среда, философия и стиль руководства, информационная система и обмен информацией, действия по контролю, мониторинг средств контроля;контрольная среда, процесс оценки риска субъектом, информационная система и обмен информацией, действия по контролю, мониторинг средств контроля;контрольная среда, процесс оценки риска субъектом, методы обработки информации, делегирование полномочий и ответственности, мониторинг средств контроля;	
Из нижеперечисленных функций  определите функцию службы внутреннего аудита;проверка наличия состояния правильности оценка активов, эффективности использования всех видов ресурсов;проверка поступлений денежных средств;Формирование профессионального мнения в отношении достоверности бухгалтерской;контроль корреспонденций счетов бухгалтерского учета;	
Имеют ли право аудиторские фирмы заниматься какой-либо другой предпринимательской деятельностью, кроме аудиторской	;да	;нет	;имеют, если это оговорено в уставе	;законе не предусмотрено;
Информация, полученная в ходе проверки от проверяемого экономического субъекта	;аудиторское заключение;документация аудитора;аудиторская выборка	;аудиторское доказательство	;
Информация, полученная от третьей стороны в письменном виде.	;внутренние аудиторские доказательства;смешанные аудиторские доказательства	;внешние аудиторские доказательства;документацией аудитора;	
Исторической родиной аудита является;Франция;Россия	;Англия;США;	
Источники  исходной информации для аудиторов в ходе проверки выступают;Приказы распоряжения;Должностные инструкции;Рабочие инструкции;Документы регламентирующие деятельность подразделений;	
К рабочей документации аудитора относится	;Регистры бухгалтерского учета;Первичные документы;Планы и программы проведения аудита;Результаты инвентаризации	;
Какая из перечисленных ниже услуг совместима с обязательным аудитом;анализ финансово-хозяйственной деятельности хозяйствующих субъектов;постановка бухгалтерского учета;восстановление бухгалтерского учета	;подготовка финансовой отчетности	;
Какие документы следует изучать аудитору при поступлении нематериальных активов на предприятие	;приходные кассовые ордера	;договора-контракты	;приходные накладные;приказы, распоряжения, докладные	;
Какие из перечисленных видов риска может контролировать аудитор?;Аудиторский риск и неотъемлемый риск	;Аудиторский риск и риск необнаружения;Неотъемлемый риск и риск системы контроля;Риск необнаружения и неотъемлемый риск	;
Какие из перечисленных ниже действий не являются нарушением принципа профессионального поведения?;выдача клиенту заявлений, преувеличивающих уровень квалификации аудитора и приобретенный им опыт;необоснованные сравнения своей работы с работой других аудиторов;пренебрежительные отзывы о работе других аудиторов;использование накопленного при оказании профессиональных услуг опыта при работе с другими клиентами	;
Какие основные параграфы включает аудиторское заключение?;вводный параграф, параграф, описывающий объем аудита, параграф, в котором выражено мнение аудитора	;описывающий объем аудита	;вводный параграф и параграф, в котором выражено мнение аудитора;структура аудиторского заключения произвольная	;
Какие основные параграфы включает отчет аудитора по специальному аудиторскому заданию (кроме отчета об обобщенной финансовой отчетности)	;вступительный параграф; параграф, описывающий характер аудиторской проверки, выражающий мнение аудитора;параграф выражающий мнение аудитора;вступительный параграф; параграф, выражающий мнение аудитора;вводный, аналитический, итоговый;
Какие элементы могут быть одинаковым как для внутреннего, так и для внешнего аудита?;объект и методы аудита;квалификация лиц, проводящих аудит;результаты проверок	;Отчетность;	
Каким методом  аудитор может определить характер наличия товарно-материальных запасов у материально-ответственного лица?;инвентаризацией	;Сплошным;выборочным	;типичной идентификацией	;
Каким подразделением    является Служба внутреннего аудита:	;структурным подразделением предприятия, осуществляющим внутренний аудит	;независимым органом финансового контроля предприятия, осуществляющим внешний аудит;зависимым органом финансового контроля предприятия, осуществляющим внешний аудит;высшим органом управления предприятием, осуществляющим внутренний аудит	;
Каким требованиям должны отвечать сотрудники службы внутреннего аудита:;иметь в сфере бухгалтерского учета, аудита, финансового или налогового контроля не менее двух лет из последних десяти;иметь высшее экономическое образование, полученное в высших образовательных учреждениях Республики Узбекистан	;иметь сертификат внутреннего аудитора;иметь опыт работы в области внутреннего аудита на предприятиях Республике Узбекистан;	
Какой вид аудиторского заключения следует составить при существенном ограничении масштабов аудита,;безоговорочный	;с отказом составления аудиторского заключения	;Отрицательный;Модифицированный;
Какой документ составляется по результатам внутренней аудиторской проверки со стороны Службы внутреннего аудита;Аудиторский отчет;Сводный отчет;Акт об аудиторской проверке	;Справку о результатах проверке;	
Какую ответственность сотрудники Службы внутреннего аудита несут при выполнении поставленных задач со стороны наблюдательного совета:;факты хищения, недостачи и потери, допущенные в деятельности предприятий, которые были предоставлены им или стали известны в связи с выполнением ими служебных обязательств	;несоблюдение конфиденциальности информации, составляющей коммерческую тайну предприятия, которая была предоставлена им или стала известна в связи с выполнением ими служебных обязательств;соблюдение конфиденциальности информации, составляющей коммерческую тайну предприятия, которая была предоставлена им или стала известна в связи с выполнением ими служебных обязательств;сотрудники Службы внутреннего аудита несут непосредственную ответственность, за финансовую и хозяйственную деятельность предприятия	;
Квалификационный аттестат аудитора первый раз выдается сроком на;один год;три года;пять лет;бессрочно	;
Клиент предъявил претензию аудиторской организации по результатам проверки. Она отклонила претензию, считая, что она должна быть адресована приглашенному со стороны эксперту, по вине которого аудиторы не заметили искажения отчетности. Оцените ситуацию;эксперт должен был оправдать приглашение	;аудитор правы, это не их ошибка;согласие руководства экономического субъекта на приглашение эксперта для того и необходимо, чтобы оно само решало, стоит ли на него полагаться	;использование работы эксперта при проведении аудита, в том числе ссылка на его работу в аудиторском заключении, не снимает ответственности с аудиторской организации	;
Кодекс этики профессиональных аудиторов – это	;свод моральных профессиональных норм;инструмент общественного регулирования профессии;модель профессионального поведения;профессиональное поведение аудитора;	
Контроль за качеством работы аудиторов заключается в:;правила по составлению рабочих документов аудитора;проверка заказчиком качества представляемого аудиторского отчета;контроле основного аудитора за работой своих ассистентов;контроле налоговых инспекций;
Кто определяет формы и методы проведения аудиторских проверок;аудиторская фирма;Министерство финансов РУз	;Совет общественного объединения аудиторов;хозяйственный субъект;	
Логическое описание предполагаемого объема и характеристики проведения аудита.	;план аудитора;программа аудитора	;письмо аудитора;смета аудитора;	
Многие профессии имеют сходные критерии, но аудиторская обладает таким, который отличает ее от большинства других профессий. Этот критерий;Независимость;должная профессиональная добросовестность;владение техническими профессиональными приемами;общая компетентность;
На каком этапе аудита осуществляются аудиторские процедуры	;выполнение аудита	;предварительное ознакомление;планирование	;системное изучение;	
На каком этапе проведения аудита определяются характер, сроки и объем аудиторских процедур?;на системном изучении;на выполнении аудита;на составлении отчета;на предварительном изучении;	
На чем основываются аудиторские доказательства	;на суждениях аудитора;на результатах тестов	;на процедурах проверки на существенность;на системном анализ;
Наиболее надежными являются доказательства, полученные;внутренних источников, чем доказательства, поступившие из внешних источников (от третьих лиц);в устной форме, чем в форме документов и письменных заявлений	;из внешних источников (от третьих лиц), чем доказательства, поступившие из внутренних источников	;в устной форме, чем письменной форме;	
Наиболее точно отражает различие между внешним и внутренним аудитом утверждение о том, что:	;внутренняя аудиторская служба создается по решению руководителей организации, внешняя — в законодательно установленном порядке;внешний аудитор должен быть в обязательном порядке аттестован, а внутренний – нет;внешний аудитор должен быть полностью независим от организации, в то время как внутренний аудитор работает в организации и составляет отчет для его руководителей;внешний и внутренний аудиторы независимые эксперты, име­ющие соответствующий атте­стат на право заниматься аудиторской деятельности;	
Независимому аудитору необходимо получить понимание функций внутреннего аудита так как он имеет отношение к работе независимого аудитора и оценке внутреннего контроля, поскольку;аудиторские программы, рабочие бумаги и отчеты внутренних аудиторов часто могут быть использованы независимым аудитором вместо того чтобы выполнять некоторые виды работ самому;работы, выполняемые внутренними аудиторами, могут быть фактором при определении  характера, времени и масштаба процедур, выполняемых независимым аудитором;процедуры, выполняемые сотрудниками отдела внутреннего аудита, могут исключать необходимость проведения обширных исследований независимым аудитором и оценки внутреннего контроля;понимание функций внутреннего аудита является важным тестом по существу, который должен быть проведен независимым аудитором;	
Неотъемлемый риск – это риск того, что;утверждения подвержены искажениям при отсутствии системы внутреннего контроля	;система внутреннего контроля клиента функционирует неэффективно	;аудитор не сможет обнаружить существенные искажения в финансовой отчетности;любой системе внутреннего контроля присущи ограничения;	
Нераспределенная прибыль организации может направляться:	;только на выплату обязательств;только на формирование резервного капитала;на формирование резервного капитала и выплату дивидендов;	;только на выплату дивидендов.	;
Обязательный аудит проводится;в случаях, установленных законодательством;по решению экономического субъекта;по поручению финансовых или налоговых органов	;по решению аудиторской организации;	
Основная цель аудиторской проверки;выявить нарушения в ведении бухгалтерского учета;установить достоверность бухгалтерской отчетности и соответствие совершенных клиентом финансовых и хозяйственных операций нормативным актам, действующим в Республике Узбекистан;дать положительное аудиторское заключение;исправление всех ошибок в учете и отчетности;
Основные задачи и функции Службы внутреннего аудита в каких нормативно-правовых документах отражены;в Положении о службе внутреннего аудита на предприятиях, утвержденном постановлением Кабинета Министров Республики Узбекистан от 16 октября 2006 г. за № 215;в Законе Республики Узбекистан «Об аудиторской деятельности»	;в Национальных стандартах аудиторской деятельности Республики Узбекистан.	;в Законе Республики Узбекистан «О внутреннем аудите и аудиторской деятельности»;
Оценка показателей в бухгалтерском балансе должна включать числовые показатели:	;брутто;нетто;экспертная;	;по профессиональному суждению бухгалтера;;
Оценка системы бухгалтерского учёта и внутреннего контроля в ходе аудита является:;обязательным требованием  стандартов аудиторской деятельности;основой договора аудиторской организации и клиента;процедурой, выполняемой аудиторами; разработки новых способов бухгалтерского учета;
Оценка системы внутреннего контроля со стороны службы внутреннего аудита производится:	;в конце аудиторской проверки;в начале аудиторской проверки;в начале и в процессе аудиторской проверки;в процессе аудиторской проверки;
Первичный учетный документ, на основании которого начисляется пособиепо временной нетрудоспособности:;приказ руководителя о предоставлении отпуска;трудовые договоры;наряд;	;больничный лист;
Перед привлечением к работе эксперта аудитор на основе профессионального суждения должен оценить профессиональную компетентность этого эксперта?;нет, не имеет смысла тратить лишнее время;да, в любом случае	;аудитор может оценить профессиональную компетентность эксперта, если возникли сомнения в его опыте и репутации в необходимой области;аудитор может оценить профессиональную компетентность эксперта, если предусмотрено в договоре;
Письмо о проведении аудита подписывает	;руководство аудируемого лица;внутренний аудитор  аудируемого лица;собственник аудируемого лица	;главный аудитор группы;
По каким заранее спланированным процедурам проводится аудиторские процедуры;Рассылка информации заинтересованным лицам;Устранение несоответствий	;Оформление файла внутреннего аудита;Сбор и обработка информации, составление отчета об аудиторской проверке;
По общему правилу (если иное не предусмотрено законом или договором), право собственности на приобретаемый товар переходит к покупателю в момент:;передачи товара приобретателю;оплаты товара;передачи товара перевозчику – транспортной организации;поступление денежных средств;
Под аффилированными лицами аудируемого лица понимаются;физические и юридические лица	;способные оказывать влияние на аудируемое лицо	владеющие более 50% голосующих акций аудируемого лица;полностью контролирующие аудируемое лицо;обладающие контрольным пакетом акций аудируемого лица;
Пользователи бухгалтерской отчетности должны трактовать мнение аудитора как	;полное отсутствие ошибок;подтверждение достоверности отчетности во всех существенных аспектах;	;полную гарантию будущей жизнеспособности;объективное и беспристрастное мнение;	
Понимание деятельности аудируемого лица при аудите финансовой отчетности должно быть использовано аудитором:;только при выборе клиента	;только на стадии завершения	;только при определение уровни существенности;на всех стадиях проведения аудита;	
Потребность в аудите вызвана;оказать помощь руководству в подготовке финансовой отчетности;необходимостью получения информации для управления;необходимостью подтверждения достоверности и правдивости финансовой отчетности;зависимостью последствий принимаемых решений от качества информации;	
При заключении договора купли-продажи, условия этого договора считаются согласованными, если договор позволяет определить:;наименование и количество товара;	;наименование, количество, цену и качество товара;	;наименование, количество и цену товара	;юридическое лицо;
При подготовке общего плана аудита необходимо учитывать:;объём годовой выручки  проверяемого экономического субъекта	;численность учетного персонала проверяемого экономического субъекта	;образование руководства проверяемого экономического субъекта;надежность системы внутреннего контроля;	
При решении этического конфликта аудитор обратился за профессиональным советом в юридическую контору. Соответствуют ли действия аудитора Кодексу этики?;Да, аудитор может прибегнуть к юридической консультации по этическим вопросам.;Нет, так как аудитор должен самостоятельно решать все этические конфликты, применяя свое профессиональное суждение	;Нет, аудитор не может обращаться к юридическим консультантам, т.к. это нарушает основополагающий принцип конфиденциальности;Нет, аудитор может консультироваться только с теми юристами, которые находятся в штате аудиторской организации	;
Принцип не обеспечивающий достижения целей профессионального аудита;Объективность;Честность;Компетентность;компромисс	;
Принцип объективности при проведении аудита означает …;не заинтересованность, непредвзятость и беспристрастность аудитора	;сочетание беспристрастности, интеллектуальной честности и отсутствие конфликта интересов;должная тщательность в оказании профессиональных услуг	;аудитор должен действовать в соответствии с хорошей репутацией профессии, воздерживаясь от любого поведения, дискредитирующего профессию;
Причина отказа от выдачи аудиторского заключения вероятнее всего может быть следующей:;аудитору к моменту предоставления аудиторского заключения не были предоставлены все документы, необходимые для его составления;предприятие клиента имеет несколько дочерних предприятий, аудит которых выполняли другие аудиторы;несмотря на получение положительных доказательств о состоянии бухгалтерской отчетности предприятия, аудитор сомневается в ее достоверности;клиент потребовал составить аудиторское заключение только по балансу предприятия	;
Проведение внешнего аудита осуществляется на предприятиях с пакетом акций (долей) государства в уставном капитале свыше 50%:	;на конкурсной основе, со стороны Правления акционерного общества по поручению Наблюдательного Совета, из перечня аудиторских организаций, осуществляющих свою деятельность в Республике Узбекистан;на конкурсной основе из перечня, определяемого Госкомимуществом и Министерством финансов Республики Узбекистан;на конкурсной основе, из перечня аудиторских организаций, осуществляющих свою деятельность в Республике Узбекистан определенных со стороны Наблюдательного Совета;на конкурсной основе, со стороны руководства акционерного общества, из перечня аудиторских организаций Республики Узбекистан;
Процедуры проверки по существу проводятся в формах	;детальных тестов, оценивающих правильность отражения операций, остатка средств на счетах бухгалтерского учета и аналитических процедур;только аналитических процедур;только тестов, оценивающих правильность отражения операций, остатка средств на счетах бухгалтерского учета;анализа  финансовой отчётности;
Рабочие стандарты аудита определят:;виды аудиторских заключений;основные принципы аудита	;основные правила проведения аудиторской проверки;порядок аудиторских процедур;	
Расходы, которые могут признаваться в себестоимости продукции полностью в отчетном году, для целей бухгалтерского учета	;управленческие;по незавершенному производству;капитальные вложения;Прямые;	
Расчеты между юридическими лицами могут производиться:;только в безналичном порядке;в безналичном порядке, а также наличными деньгами при соблюдении установленных нормативными актами ограничений;и в наличном, и в безналичном порядке без каких-либо ограничений;только в наличном порядке	;
