Savol;Javob1;Javob2;Javob3;Javob4;
100. Yozuv nimа?;Mа’lumоtlаr bаzаsigа tеgishli birоr оb’еkt hаqidа ахbоrоt bеruvchi (bir qаtоrdа yozilgаn) bаrchа mаydоnlаr mаjmui;Mаydоnning bаrchа elеmеntlаri fаqаt bir turli mа’lumоtlаrni sаqlаydi;Mа’lumоtlаr bаzаsini bоshqаrish sistеmаsi bo’lib, u yangi bаzаlаr sistеmаsini yarаtishgа, uni yangi mа’lumоtlаr bilаn to’ldirishgа vа tаhrir qilishgа, hаmdа mа’lumоtlаrni viziullаshtirishgа mo’ljаllаngаn vоsitаlаr mаjmuidir;Bu shundаy mа’lumоtlаr bаzаsiki, undа mа’lumоtlаr ikki o’lchоvli jаdvаllаrdа sаqlаnаdi vа ulаr o’rtаsidа o’rnаtilgаn bоg’lаnish qаytа ishlаsh sаmаrаdоrligini оshirаdi hаmdа bir xil mа’lumоtlаrning tаkrоrlаnishini kаmаytirаdi;
101. Kompyuter tarmoqlarining asosan necha turga bo’linadi?;Lokal, regional va global tarmoqlari;Lokal va global tarmoqlari;Internet tarmoqlari;Lokal tarmoq, regional;
102. Axborot tizimlari yoki axborot resurslariga kim egalik qilishi mumkin?;Yuridik yoki jismoniy shaxslar.;Tarmoq administrator.;Tashkilot rahbari.;Kompaniya direktori.;
103. Kаrtоchkа egаlаrigа xizmаt ko‘rsаtish vа o‘zining xususiy mаblаg‘lаri hisоbigа sаvdо kоrxоnаlаri bilаn hisоb-kitоblаrni аmаlgа оshiruvchi bаnk turini ko‘rsаting:;Bаnk emitеnt.;Bаnk ekvаyеr.;Bаnkоmаt.;Billing;
104. Аvtоmаtlаshtirilgаn ish joyi yoki o‘rni dеgаndа nimаni e’tibоrdа tutаsiz?;Mа’lum bir fаоliyat jаrаyonining kompyuter texnikasiа dаstur аsоsidа bаjаrilishini;INTERNET tаrmоg‘igа dаsturiy ulаnishni.;Fаyl - sеrvеrdа аxbоrоtlаrgа ishlоv bеrishni.;Kоmpyutеrdа turli аxbоrоtlаrgа ishlоv bеrishni.;
105. Buxgalteriya tizimida qanday dasturiy ta’minotlar ishlatiladi;“1C:Buxgalteriya”, “Parus”, “Infosoft”, “Xakers-Dizayn”;“BIOS”, “Globus, “Parus”.;  “Mijoz server” , “Antihaker”, “Infosoft”.;   “Mijoz server”, “Parus”, “Antihaker”.;
106. Elektron tijorat tizimi ishtirokchilari toifasini aniqlang;Sub’yektlar;Kontrogetlar; Obyektlar;Elektron do’kon;
107. Simplеks uzаtishdа mа’lumоtlаr kаndаy tаrtibdа uzаtilаdi?;bir tomonlama uzatiladi.;Axborot hаr tоmоnlаmа uzatiladi.;ikki tomonlama.;ixtiyoriy rаvishdа.;
108. Access MBBT fayli qanday kengaytmaga ega?;.accdb.;.xls.;.doc.;.dbf.;
109. MS Access MBBT-ning asosiy ob'ektlari:;jadvallar, formallar, so'rovlar, hisobotlar.;formallar, jadvallar, chiziqlar, hisobotlar.;hisobotlar, jadvallar, fornalar.;Formallar, jadvallar, so'rovlar, tanlovlar.;
110. Access ma'lumotlar bazasining asosiy ob’ekti nima hisoblanadi?;Jadval;forma;Namuna;Hisobot;
111. Access MBBT so'rovlar nima  uchun mo'ljallangan.;Yozuvlarni qidirish, saralash, qo'shish va o'chirish, yangilash uchun mo’ljallangan.;Ma'lumotlarni qo'shish va ko'rish.;Ma'lumotlarni qidirish va saralash.;Jadvaldagi ma'lumotlarni tahrirlash uchun .;
112. MS Access-da katta hajmdagi matnlarni saqlash uchun qanday ma'lumotlar turlari ishlatiladi?;Текстовый.;Поле объекта OLE;МЕМО;Гиперссылка;
113. MS Access-da grafik ob'ektlarni saqlash uchun qanday ma'lumotlar turlari ishlatiladi?;Поле объекта OLE;МЕМО;Дата и время;Текстовый.;
114. 4784 rubl, 67 $ miqdorini kiritish uchun qaysi turdagi ma'lumotlarni tanlash kerak?;Денежный.;Числовой.;Текстовый.;Логический;
115. Qaysi maydon uchun quyidagi shaklni to'ldirishingiz kerak: ;вычисляемый.;логический.;вложение.;мастер подстановок.;
116. Microsoft Excel – bu:;Jadval muxarriri;Matn muxarriri;Grafik muxarriri;Taqdimot muxarriri;
117. Microsoft Excel dasturida yaratiladigan hujjatlar qanday nomlanadi?;“Книга”;“Презентация”;“Документ”;“Лист”;
118.Microsoft Excel dasturida yangi hujjat yaratilsa, unga qanday nom biriktiriladi?;“Книга 1”;“Документ 1”;“Лист 1”;“Презентация 1”;
119.«*.xls» kengaytmaga ega bo‘lgan faylni sichqonchaning chap tugmasi bilan ikki marta bosilsa nima sodir bo‘ladi?;Microsoft Excel dasturi ishga tushiriladi va unga tanlangan hujjat yuklanadi;Microsoft Word dasturi ishga tushiriladi va unga tanlangan hujjat yuklanadi;Microsoft PowerPoint dasturi ishga tushiriladi va unga tanlangan hujjat yuklanadi;Microsoft WordPad dasturi ishga tushiriladi va unga tanlangan hujjat yuklanadi;
120. Microsoft Excel dasturida hujjatni yopish uchun qanday amal bajariladi? To‘g‘ri javob variantini ko‘rsating:;«Файл-Закрыть» menyu amalini bajarish;«Файл Выход» menyu amalini bajarish;«Закрыть» tugmasini bosish;«Файл-Завершить» menyu amalini bajarish;
121.Microsoft Excel dasturida yaratilgan hujjatlar “Ish kitobi” (rabochaya kniga) deb ataladi. Microsoft Excel dasturida yangi hujjat yaratish tartibi to‘g‘ri ko‘rsatilgan variantni tanlang:;«Файл Создать»;«Файл новая книга»;«Вставка новая книга»;«Файл Новая»;
122. Microsoft Excel dasturida yaratilgan ish kitobini saqlash mumkin bo‘lgan to‘g‘ri variantni ko‘rsating:;«Файл Сохранить»;«Формат Сохранить»;«Файл Открыть»;«Вид Сохранить»;
123.Microsoft Excel dasturida ish kitobini ochish mumkin bo‘lgan to‘g‘ri variantni ko‘rsating:;«Файл Открыть»;«Файл Открыть как»;«Формат Загрузить»;«Вид Загрузить»;
124. Microsoft Excel elektron jadvalida A1:V3 yacheykalar guruhi tanlangan. Bu diapazonga nechta yacheyka kiradi?;6;2;8;9;
125. Microsoft Excel dasturi ish kitobiga yangi sahifani (лист) qanday qo‘shish mumkin?;Sahifa nomiga sichqoncha o‘ng tugmasini bosing va paydo bo‘lgan menyudan “Вставить” amalini tanlang;Sahifa nomiga sichqoncha chap tugmasini ikki marta bosing va sahifa nomini kiriting;Sahifa nomiga sichqoncha chap tugmasini bosing va paydo bo‘lgan menyudan “Добавить” amalini tanlang;Sahifa nomini tanlang va “Правка Добавить” menyu amalini bajaring;
126. Microsoft Excel dasturi ish kitobidagi sahifani (лист) qanday o‘chirish mumkin?;Sahifa yorlig‘iga sichqoncha o‘ng tugmasini bosib va kontekst menyusidan “Удалить” amalini tanlash bilan;Sahifa nomiga sichqoncha tugmasini bosish orqali uni belgilab va Delete tugmasini bosish bilan;Sahifa nomiga sichqoncha tugmasini bosish orqali uni belgilab va «Правка Удалить» menyu amalini bajarish bilan;Sahifani belgilab va «Фйал Закрыть» menyu amalini bajarish bilan;
127. Microsoft Excel dasturida ish kitobi sahifalarini (лист) qanday qilib tez qayta nomlash mumkin?;Sahifa nomiga sichqoncha chap tugmasini ikki marta bosing va sahifa yangi nomini kiriting;Sahifa nomiga sichqoncha o‘ng tugmasini bosing, kotekst menyusidan “Переименовать” amalini tanlang va sahifa yangi nomini kiriting;Sahifa nomiga sichqoncha chap tugmasini bosish orqali uni belgilang, “Правка переименовать” menyu amalini bajaring va sahifa yangi nomini kiriting;Sahifa nomiga sichqoncha chap tugmasini bosish orqali uni belgilang, F2 tugmasini bosing va sahifa yangi nomini kiriting;
128. Microsoft Excel dasturida ish kitobi sahifalarini (лист) qanday qilib ko‘chirish yoki nus’ha olish mumkin?;Sahifa nomiga sichqoncha o‘ng tugmasini bosish va kontekst menyusidan “ПереименоватьСкопировать” amalini bajarish orqali;Sahifani tanlash va «ПравкаКопировать», «ПравкаВставить» menyu amallarini bajarish orqali;Sahifani tanlash va Uskunalar panelidan “Копировать” va “Вставить” tugmalarini bosish orqali;Sahifani tanlash va Uskunalar panelidan “Вырезать” va “Вставить” tugmalarini bosish orqali;
129. Microsoft Excel dasturida jadvaldagi satr tartib raqamiga (satr nomiga) sichqoncha ko‘rsatkichi bilan bosilsa nima sodir bo‘ladi?;Satr to‘liq belgilanadi;Satr faollashadi;Kursor tanlangan satrga o‘rnatiladi;Satrning ekranda ko‘ringan qismi belgilanadi;
130. Microsoft Excel dasturida jadvaldagi ustun sarlavhasiga sichqoncha ko‘rsatkichi bilan bosilsa nima sodir bo‘ladi?;Ustun to‘liq belgilanadi;Ustun faollashadi;Kursor tanlangan ustunga o‘rnatiladi;Ustunning ekranda ko‘ringan qismi belgilanadi;
131.Microsoft Excel dasturi jadvalida formulalarni yozish qaysi belgidan boshlanadi?;=;+;-;?;
132.Microsoft Excel dasturida quyida keltirilgan funksiyalarning qaysi biri mantiqiy hisoblanadi?;ЕСЛИ;СУММ;МАКС;СРЗНАЧ;
133. Microsoft Excel dasturida quyida keltirilgan ma’lumotlar turining qaysi biri mavjud emas?;Grafik;Matnli;Sonli;Pul birligi;
134. Microsoft Excel dasturi interfeysining rasmda belgilangan maydoni qanday nomlanadi?;Formulalar satri (Строка формул);Buyruqlar satri (Строка команд);Uskunalar paneli (Панель инструментов);Holatlar satri (Строка состояния);
135. Rasmda keltirilgan Microsoft Excel dasturining ish kitoblarining barcha sahifalarini belgilash qanday amalga oshiriladi?;Sahifa nomiga sichqoncha o‘ng tugmasini bosish va kontekst menyusidan «Выделить все листы» menyu amalini bajarish;«Правка выделить все листы» menyu amalini bajarish;Sahifa nomiga sichqoncha tugmasini uch marta ketma-ket bosish;«Файл выделить все» menyu amalini bajarish;
136. Rasmda belgilangan Microsoft Excel dasturining kataklarni formatlash oynasining “Операция” bo‘limi nima uchun kerak?;Katak tarkibini belgilangan burchak ostida aks ettirish;Katak qiymatlarini vertikal tekislash;Katak qiymatlarini gorizontal tekislash;Katak qiymatlarini gorizontal joylashtirish;
137.Microsoft Excel dasturida rasmda keltirilgan dialog oynasining “Nayti vse” tugmasi bosilsa nima sodir bo‘ladi?;Jadvaldagi barcha “Информация” so‘zi mavjud bo‘lgan kataklarning ro‘yxati yaratiladi;Jadvaldagi barcha “Информация” so‘zi belgilanadi;Jadvaldan navbatdagi “Информация” so‘zi qidirib topiladi;Ketma-ket barcha “Информация ” so‘zlari qidirib topiladi;
138. Microsoft Excel dasturida rasmda keltirilgan dialog oynasining “Заменить все” tugmasi bosilsa nima sodir bo‘ladi?;Jadvaldagi barcha “Информация” so‘zlari “Сообщение” so‘ziga almashtiriladi;Jadvaldagi barcha “Информация” so‘zi belgilanadi;Jadvaldagi “Информация” so‘zi mavjud bo‘lgan barcha kataklarga “Сообщение” so‘zi kiritiladi;Jadvaldagi barcha “Информация” va “Сообщение” so‘zlari qidirib topiladi;
139.Microsoft Excel dasturida, rasmda tasvirlangan holatda kataklar qay tarzda to‘ldiriladi?;Kataklar o‘z tartib raqamiga mos 1 dan 10 gacha bo‘lgan sonlar bilan to‘ldiriladi;Barcha kataklar 2 soni bilan to‘ldiriladi;Barcha kataklar 1 soni bilan to‘ldiriladi;Barcha kataklar 10 soni bilan to‘ldiriladi;
140. Microsoft Excel dasturida, rasmda tasvirlangan holatda kataklar qay tarzda to‘ldiriladi?;Barcha kataklar 1 soni bilan to‘ldiriladi;Dastlabki kataklar 1 va 2 sonlari qolgan kataklar esa 1 soni bilan to‘ldiriladi;Barcha kataklar 2 soni bilan to‘ldiriladi;Kataklar o‘z tartib raqamiga mos 1 dan 10 gacha bo‘lgan sonlar bilan to‘ldiriladi;
141. Microsoft Excel dasturida, rasmda ko‘rsatilgandek sichqoncha chap tugmasini bosib uni 5 katak pastga siljitilsa katak qiymati bilan bog‘liq qanday o‘zgarish sodir bo‘ladi?;Katak qiymati besh katak pastga siljitiladi;Katak qiymati besh marta ko‘payadi;Katak qiymatining nusxasi beshta katakka ko‘chiriladi;Beshta katak belgilanadi;
142. Microsoft Excel dasturida, rasmda ko‘rsatilgandek Ctrl tugmasini qo‘yib yubormagan holda sichqoncha chap tugmasini bosib uni 5 katak pastga siljitilsa katak qiymati bilan bog‘liq qanday o‘zgarish sodir bo‘ladi?;Katak qiymati 5-chi katakka nusxalanadi;Katak qiymati besh katak pastga siljitiladi;Katak qiymati besh marta ko‘payadi;Katak qiymatining nusxasi beshta katakka ko‘chiriladi;
143.Rasmda keltirilgan Microsoft Excel dasturi yacheykasining identifikatorini (adres) ko‘rsating:;B3;B;3;3B;
144. Rasmda keltirilgan Microsoft Excel dasturi yacheykalari diapazonining identifikatorini (adres) ko‘rsating:;B3:D7;B7:D2;B2:B7;D2:D7;
145. Microsoft Excel dasturida, rasmda keltirilgan yacheykalar qiymatlari yig‘indisini topish formulasini ko‘rsating:;"=A1+B1";"=summa(9:14)";C1=A1+B1;"=summa(A1:S1)";
146. Microsoft Excel dasturida, rasmda keltirilgan diapazondagi yacheykalar qiymatlari summasini topish formulasini ko‘rsating:;"=СУММ(A1:A9)";"=summa(A1:A9)";"=СРЗНАЧ(A1:A9)";0;
147.Rasmda ko‘rsatilgan yacheykalar qiymatlarining summasini, Microsoft Excel dasturining topshiriqlar tasmasidagi qaysi tugma yordamida hisoblash mumkin? ;5;1;2;3;
148.Rasmda ko‘rsatilgan yacheykalar qiymatlarining formatini, Microsoft Excel dasturining topshiriqlar tasmasidagi qaysi tugma yordamida o‘rnatish mumkin?;1;2;3;4;
149.Rasmda ko‘rsatilgan yacheykalar qiymatlarining formatini, Microsoft Excel dasturining topshiriqlar tasmasidagi qaysi tugma yordamida o‘rnatish mumkin?;3;1;2;4;
150. Microsoft Excel dasturida, rasmda keltirilgan holatda Enter tugmasi bosilsa D3 katagida qanday qiymat hosil bo‘ladi?;17;22;12;5;
151.Yacheyka manzili to‘g‘ri yozilgan javobni ko‘rsating:;B7;F2C;12A;5D6;
152. Noto‘g‘ri yozilgan formulani ko‘rsating:;A1+B4;=A1/B4;=A1*B4;=A1-B4;
153. MS Excelda ЕСЛИ funksiyasi qaysi kategoriyada joylashgan?;Логические (mantiqiy);Финансовые (moliyaviy);Статистические (statistik);Текстовой(Matnli);
154. MS Excelda СРЗНАЧ, МАКС, МИН funksiyalari qaysi kategoriyada joylashgan?;Статистические (statistik);Логические (mantiqiy);Текстовой(Matnli);Финансовые (moliyaviy);
155. MS Excelda ПЛТ, ОСПЛТ, ПРПЛТ funksiyalari qaysi kategoriyada joylashgan?;Финансовые (moliyaviy);Статистические (statistik);Логические (mantiqiy);Текстовой(Matnli);
156. MS Excelda anunitet kreditni hisoblashda qaysi moliyaviy  funksiyalar yordamida hisoblanadi.;ПЛТ, ОСПЛТ, ПРПЛТ;ЕСЛИ, АМР, ИЛИ;СРЗНАЧ, МИН, МАКС.;ВРЕМЗНАЧ, ВРЕМЯ, ГОД, ДАТА;
157. MS Excelda ВРЕМЗНАЧ, ВРЕМЯ, ГОД, ДАТА  funksiyalari qaysi kategoriyada joylashgan?;Дата и время;Финансовые (moliyaviy);Статистические (statistik);Логические (mantiqiy);
158. MS Excelda  yacheykadagi  ####### ko'rinishi nimani anglatadi?;Katakning kengligi natijaning uzunligidan kamligini.;Hisoblash formulasidagi xatoligini.;To’g’ri javob yo’k;Natija chikmaganligini.;
159. MS Excelda  qanday turdagi diagrammalar yaratiladi?;График, точечная, линейчатая, гистограмма, круговая;Коническая, плоская, поверхностная, усеченная;Гистограмма, график, локальное пересечение, аналитическая;Hamma javoblar to’g’ri;
160. Excel elektron jadvalidan mutlaq (absolyut) katak manzilini tanlang:;$D$3;D$3$;D3;To’g’ri javob yo’k;
161. Microsoft Excel dasturi ish kitobiga yangi sahifani (лист) qanday qo‘shish mumkin?;Sahifa nomiga sichqoncha o‘ng tugmasini bosing va paydo bo‘lgan menyudan “Вставить” amalini tanlang;Sahifa nomiga sichqoncha chap tugmasini ikki marta bosing va sahifa nomini kiriting;Sahifa nomiga sichqoncha chap tugmasini bosing va paydo bo‘lgan menyudan “Добавить” amalini tanlang;Sahifa nomini tanlang va “Правка Добавить” menyu amalini bajaring;
162. Microsoft Excel dasturi ish kitobidagi sahifani (лист) qanday o‘chirish mumkin?;Sahifa yorlig‘iga sichqoncha o‘ng tugmasini bosib va kontekst menyusidan “Удалить” amalini tanlash bilan;Sahifa nomiga sichqoncha tugmasini bosish orqali uni belgilab va Delete tugmasini bosish bilan;Sahifa nomiga sichqoncha tugmasini bosish orqali uni belgilab va «Правка Удалить» menyu amalini bajarish bilan;Sahifani belgilab va «Фйал Закрыть» menyu amalini bajarish bilan;
164. Microsoft Excel dasturida ish kitobi sahifalarini (лист) qanday qilib tez qayta nomlash mumkin?;Sahifa nomiga sichqoncha chap tugmasini ikki marta bosing va sahifa yangi nomini kiriting;Sahifa nomiga sichqoncha o‘ng tugmasini bosing, kotekst menyusidan “Переименовать” amalini tanlang va sahifa yangi nomini kiriting;Sahifa nomiga sichqoncha chap tugmasini bosish orqali uni belgilang, “Правка переименовать” menyu amalini bajaring va sahifa yangi nomini kiriting;Sahifa nomiga sichqoncha chap tugmasini bosish orqali uni belgilang, F2 tugmasini bosing va sahifa yangi nomini kiriting;
165. Microsoft Excel dasturida ish kitobi sahifalarini (лист) qanday qilib ko‘chirish yoki nus’ha olish mumkin?;Sahifa nomiga sichqoncha o‘ng tugmasini bosish va kontekst menyusidan “ПереименоватьСкопировать” amalini bajarish orqali;Sahifani tanlash va «ПравкаКопировать», «ПравкаВставить» menyu amallarini bajarish orqali;Sahifani tanlash va Uskunalar panelidan “Копировать” va “Вставить” tugmalarini bosish orqali;Sahifani tanlash va Uskunalar panelidan “Вырезать” va “Вставить” tugmalarini bosish orqali;
166. Microsoft Excel dasturida jadvaldagi satr tartib raqamiga (satr nomiga) sichqoncha ko‘rsatkichi bilan bosilsa nima sodir bo‘ladi?;Satr to‘liq belgilanadi;Satr faollashadi;Kursor tanlangan satrga o‘rnatiladi;Satrning ekranda ko‘ringan qismi belgilanadi;
167. Microsoft Excel dasturida jadvaldagi ustun sarlavhasiga sichqoncha ko‘rsatkichi bilan bosilsa nima sodir bo‘ladi?;Ustun to‘liq belgilanadi;Ustun faollashadi;Kursor tanlangan ustunga o‘rnatiladi;Ustunning ekranda ko‘ringan qismi belgilanadi;
168.Microsoft Excel dasturi jadvalida formulalarni yozish qaysi belgidan boshlanadi?;=;+;-;?;
169.Microsoft Excel dasturida quyida keltirilgan funksiyalarning qaysi biri mantiqiy hisoblanadi?;ЕСЛИ;СУММ;МАКС;СРЗНАЧ;
170.Intеrnеt tarmog`ida rеal vaqtda axborotlar (xabarlar) almashish xizmati qanday ataladi?;Chat;Forum;Elektron pochta;www;
171. Kompyutеr tarmog’i nima?;Kompyutеrlarning o’zaro bog’langan holda turli ma'lumotlar almashishi;Kompyutеrlarning bir xonaga joylashtirilishi;Biror tashkilotga tеgishli bo’lgan barcha kompyutеrlar;Hamma javob to’g’ri;
172. Xududiy taqsimlanish bo’yicha tarmoqlar quyidagicha  ;Lokal, rеgion, global;Mamlakat, viloyat, tuman;Arpanet, NetWore, Windows NT;Sеrvеr, protokol, mijoz;
173. Intеrnеt tarmog`iga ajratilgan liniya orqali ulanish usulini;ADSL;WiMAX;Dial-up;Modem;
174. Naqd pulsiz tizimda pul o`tkazish turlarini keltiring:;plastik karta, CLICK, SMS -Банкинг,     М-БАНК,   PAYME;plastik karta, CLICK, SMS -Банкинг, kassa amaliyoti;plastik karta, М-БАНК,   PAYME, kassa amaliyoti,;plastik karta, PAYME, Uzasbo;
175. Mujаsаmlаngаn buхgаltеriya tizimi АDPlаrgа qаndаy dаsturlаr kirаdi?;1C:Buxgalteriya, BEM, Bux kompleks, Kompex+;;Kompex+, Bux kompleks;Kompex+, Turbo-Buxgalteriya;Turbo-Buxgalteriya, Bux kompleks.;
176. Davlat Soliq Qo`mitasi saytini to'g'ri ko'rsatilgan bandni ko'rsating;www.soliq.uz;soliq.gov.uz;uz.soliq,;uzbekistan.soliq.uz;
177. Soliq hisobotlari qanday topshiriladi?;otchet.uz, hisobot.uz;eStat-klient, 1C-Buxgalter;www.soliq.uz, MS Access;www.soliq.uz, MS Excel;
178. Ko’p sonli qabul qiluvchilarga tarqatiladigan, kеraksiz elеktron xabarlar odatda nima dеb ataladi?;Spam;Shovqin;Virus;Rеklama;
179. Quyidagi qaysi dasturlar ma'lumotlar bazasini yaratishga;ACCESS;EXCEL;DELPHI;PASCAL;
180.Yacheyka manzili to‘g‘ri yozilgan javobni ko‘rsating:;B7;F2C;12A;5D6;
181. Noto‘g‘ri yozilgan formulani ko‘rsating:;A1+B4;=A1/B4;=A1*B4;=A1-B4;
182. MS Excelda ЕСЛИ funksiyasi qaysi kategoriyada joylashgan?;Логические (mantiqiy);Финансовые (moliyaviy);Статистические (statistik);Текстовой(Matnli);
183. MS Excelda СРЗНАЧ, МАКС, МИН funksiyalari qaysi kategoriyada joylashgan?;Статистические (statistik);Логические (mantiqiy);Текстовой(Matnli);Финансовые (moliyaviy);
184. MS Excelda ПЛТ, ОСПЛТ, ПРПЛТ funksiyalari qaysi kategoriyada joylashgan?;Финансовые (moliyaviy);Статистические (statistik);Логические (mantiqiy);Текстовой(Matnli);
185. MS Excelda anunitet kreditni hisoblashda qaysi moliyaviy  funksiyalar yordamida hisoblanadi.;ПЛТ, ОСПЛТ, ПРПЛТ;ЕСЛИ, АМР, ИЛИ;СРЗНАЧ, МИН, МАКС.;ВРЕМЗНАЧ, ВРЕМЯ, ГОД, ДАТА;
186. MS Excelda ВРЕМЗНАЧ, ВРЕМЯ, ГОД, ДАТА  funksiyalari qaysi kategoriyada joylashgan?;Дата и время;Финансовые (moliyaviy);Статистические (statistik);Логические (mantiqiy);
187. MS Excelda  yacheykadagi  ####### ko'rinishi nimani anglatadi?;Katakning kengligi natijaning uzunligidan kamligini.;Hisoblash formulasidagi xatoligini.;To’g’ri javob yo’k;Natija chikmaganligini.;
189. MS Excelda  qanday turdagi diagrammalar yaratiladi?;График, точечная, линейчатая, гистограмма, круговая;Коническая, плоская, поверхностная, усеченная;Гистограмма, график, локальное пересечение, аналитическая;Hamma javoblar to’g’ri;
190. Excel elektron jadvalidan mutlaq (absolyut) katak manzilini tanlang:;$D$3;D$3$;D3;To’g’ri javob yo’k;
191. Axborot tizimlari yoki axborot resurslariga kim egalik qilishi mumkin?;Yuridik yoki jismoniy shaxslar.;Tarmoq administrator.;Tashkilot rahbari.;Kompaniya direktori.;
192. Kаrtоchkа egаlаrigа xizmаt ko‘rsаtish vа o‘zining xususiy mаblаg‘lаri hisоbigа sаvdо kоrxоnаlаri bilаn hisоb-kitоblаrni аmаlgа оshiruvchi bаnk turini ko‘rsаting:;Bаnk emitеnt.;Bаnk ekvаyеr.;Bаnkоmаt.;Billing;
193. Аvtоmаtlаshtirilgаn ish joyi yoki o‘rni dеgаndа nimаni e’tibоrdа tutаsiz?;Mа’lum bir fаоliyat jаrаyonining kompyuter texnikasiа dаstur аsоsidа bаjаrilishini;INTERNET tаrmоg‘igа dаsturiy ulаnishni.;Fаyl - sеrvеrdа аxbоrоtlаrgа ishlоv bеrishni.;Kоmpyutеrdа turli аxbоrоtlаrgа ishlоv bеrishni.;
194. Buxgalteriya tizimida qanday dasturiy ta’minotlar ishlatiladi;“1C:Buxgalteriya”, “Parus”, “Infosoft”, “Xakers-Dizayn”;“BIOS”, “Globus, “Parus”.;  “Mijoz server” , “Antihaker”, “Infosoft”.;   “Mijoz server”, “Parus”, “Antihaker”.;
195. Elektron tijorat tizimi ishtirokchilari toifasini aniqlang;Sub’yektlar;Kontrogetlar; Obyektlar;Elektron do’kon;
196. Simplеks uzаtishdа mа’lumоtlаr kаndаy tаrtibdа uzаtilаdi?;bir tomonlama uzatiladi.;Axborot hаr tоmоnlаmа uzatiladi.;ikki tomonlama.;ixtiyoriy rаvishdа.;
197. Access MBBT fayli qanday kengaytmaga ega?;.accdb.;.xls.;.doc.;.dbf.;
198. MS Access MBBT-ning asosiy ob'ektlari:;jadvallar, formallar, so'rovlar, hisobotlar.;formallar, jadvallar, chiziqlar, hisobotlar.;hisobotlar, jadvallar, fornalar.;Formallar, jadvallar, so'rovlar, tanlovlar.;
200. Access ma'lumotlar bazasining asosiy ob’ekti nima hisoblanadi?;Jadval;forma;Namuna;Hisobot;
