Savol;Javob1;Javob2;Javob3;Javob4
Qimmatbaho qog'ozlarning emissiya qiymati nima? ;tugatilayotgan tashkilotlarning mulklarini sotishdan olinadigan pullari bir aksiyaga to’g’ri keladigan qiymati ;qimmatli qog’ozlarning bozorda sotiladigan bahosi ;qimmatli qog’oz blankasida ko`rsatilgan qiymat ;hozirgi vaqtda tashkilotning balansida aks ettiiladigan qiymatdagi summa
Qoldiq qiymat qanday topiladi? ;asosiy vositalarni dastlabki qiymatidan eskirish suinnuisining ayirmasi ;asosiy vositalarni bozor qiymatidan jamg'arilgan eskinshning ayirmasi ;asosiy vositalarni bozor qiymatidan balans qiymatining ayirmasi ;asosiy vositalarni foydali xizmat qilish muddati tugaganda
Realizatsiya jarayonida korxona qanday xarajatlar qiladi? ;Sotish, reklama, vakillik xarajatlari, marketing tadqiqotlari bilan bog`liq xarajatlar;Idish va mahsulotlar xarajatlari ;marketing tadqiqotlari bilan bog`liq xarajatlar ;Divident ko‘rinishidagi xarajatlar
Rezerv kapitali hisobi qanday hisobvaraqlarda yuritiladi?;8510 - «Aktivlarni qayta baholash bo‘yicha tuzatishlar»; 8520 - «Rezerv kapitali»; 8530 - «Tekinga olingan mol-mulk»;8530 - «Beg‘araz olingan mol-mulk» ;8520 - «Rezerv kapitali»; 8530 - «Beg‘araz olingan mol-mulk» ;8330 - «Pay va qo‘yilmalar»
Obligasiyani sotib olish va nominal qiymati o‘rtasidagi farqi ya'ni diskontni hisobdan chiqarish buxgalteriya provodkasini aniqlang?;Dt 5810 Kt 9530;Dt 5110 Kt 4830 ;Dt 9610 Kt 0610 ;Dt 0610 Kt 4830
O‘z vaqtida olinmagan ish xaqqi deponentga o‘tkazilib, bankka qaytarilsa bu moliyaviy hisobotning qaysi elementiga tegishli bo‘ladi?;Majburiyatlar ;Kapital ;Aktivlar ;Daromadlar va xarajatlar
Mol yetkazib beruvchilar bilan hisob-kitoblar bo‘yicha korxonaning qarzi balansning qaysi satrida aks ettitriladi?;610-satr ;770-satr ;630-satr ;620-satr
Mol yetkazib beruvchilardan 10 mln so‘mlik tovarlar olingan. Shundan 100 ming so‘mligi sifatsiz. Muomala bo‘yicha provodkani aniqlang?;Dt 2910, 4860 Kt 6010 ;Dt 2910      Kt 6010 ;Dt 6010      Kt 2910, 4860 ;Dt 2910      Kt 4860
O‘z vaqtida olinmagan ish haqi deponentga o‘tkazilgandan so‘ng, qachon va qaysi schyotdan hisobdan chiqariladi?;3 yil va 9300 schyot;1 yil va 9500 schyot ;2 yil va 9600 schyot ;4 yil va 9900 schyot
Naqd pulsiz hisob-kitoblarni amalga oshirishda qaysi hisob-kitob hujjatlaridan foydalaniladi? ;memorial order, to‘lov topshiriqnomasi, to‘lov talabnomasi, inkasso topshiriqnomasi, akkreditivga ariza, hisob-kitob cheki va plastik kartalaridan ;to‘lov topshiriqnomasi, to‘lov talabnomasi, inkasso topshiriqnomasi, akkreditivga ariza, hisob-kitob cheki va plastik kartalaridan;memorial order, to‘lov talabnomasi, inkasso topshiriqnomasi, akkreditivga ariza va hisob-kitob cheki ;memorial order, to‘lov topshiriqnomasi, to‘lov talabnomasi, akkreditivga ariza, hisob-kitob cheki va plastik kartalaridan
Akkreditivning amal qilish muddati va u bo‘yicha hisob-kitob qilish tartibi mablag‘larni to‘lovchi bilan mablag‘larni oluvchi o‘rtasidagi ........belgilab qo‘yiladi? ;shartnomada ;qaydnomada ;ishonchnomada  ;Bildirishnomada
Xodimlarga moddiy yordam kassadan naqd pul ko‘rinishida to‘landi, provodkasini aniqlang?;Debet 6710 Kredit 5010;Debet 6520 Kredit 5010 ;Debet 9420 Kredit 5010;Debet 9430 Kredit 5010
Pul mablag‘lariga 9-son BHMSda berilgan ta'rifni aniqlang?;Pul mablag‘lari-kassadagi naqd pul, talab qilib olinadigan depozitlar, hisob-kitob, valyuta va boshqa bank hisobidagi mablag‘lardir;Pul mablag‘lari-kassadagi naqd pul, hisob-kitob, valyuta va boshqa bank hisobidagi mablag‘lardir ;Pul mablag‘lari-kassadagi naqd pul, talab qilib olinadigan depozitlar, hisob-kitob va boshqa bank hisobidagi mablag‘lardir ;Pul mablag‘lari-kassadagi naqd pul, talab qilib olinadigan depozitlar, hisob-kitob, valyuta mablag‘lardir
5110 Hisob-kitob schyotidagi pul mablag‘larini hisobga oluvchi schyotning debet aylanishi bo‘yicha qaysi xujjat to‘ldiriladi? ;Qaydnoma ;Bosh daftar ;Aylanma qaydnoma ;Jurnal order
Reklama xarajatlari qaysi xarajat guruhiga kiritiladi? ;doimiy va egri xarajatlarga;o‘zgaruvchan va to‘g‘ri xarajatlarga ;o‘zgaruvchan va egri xarajatlarga ;doimiy va to‘g‘ri xarajatlarga
Ishlab chiqarish korxonasi uchun quyidagilarning qaysi biri davr xarajatlari guruhiga kiritiladi? ;mahsulotlarni sotishdagi xodimlarga hisoblagan ish haqi ;zavod jihozlarining amortizasiyasi ;mashina operatorlarining ish haqi summasi ;zavod jihozlarining sug‘urtasi
Qimmatbaho qog’ozlarning likvidatsiya bahosi bu.....? ;tugatilayotgan tashkilotlarning mulklarini sotishdan olinadigan pullari bir aksiyaga to’g’ri keladigan qiymati ;qimmatli qog’ozlarning bozorda sotiladigan bahosi ;qimmatli qog’oz blankasida ko`rsatilgan qiymat ;hozirgi vaqtda tashkilotning balansida aks ettiiladigan qiymatdagi summa
Asosiy vositalar qayta baholanganda (agar qiymati ortsa) balansning qaysi bo‘limi ko‘payadi?;O‘z mablag‘larning tashkil topish manbalari;Joriy aktivlari ;Majburiyatlari ;Daromadlari
«Standart-kost» tizimi bo‘yicha foyda qanday aniqlanadi?;yalpi daromad, tannarx, yalpi foyda, og‘ishishlar, foyda ;daromad, tannarx ;yalpi daromad, tannarx, yalpi foyda, og‘ishishlar ;yalpi daromad, tannarx, yalpi foyda
6410 - Mol yetkazib beruvchilar va pudratchilarga to‘lanadigan schyotlar kreditlanganda debetlanuvchi schyotni aniqlang?;5110 ;4410 ;9810 ;4010
.......hamda ularning harakati bilan bog‘liq xo‘jalik operatsiyalari buxgalteriya hisobini ob'ektlaridir (4-modda)?;Aktivlar, majburiyatlar, xususiy kapital, daromadlar va xarajatlar, foyda, zararlar;Asosiy va joriy aktivlar, majburiyatlar, xususiy kapital, zahiralar, daromadlar va xarajatlar foyda, zararlar ;Aktivlar, majburiyatlar, xususiy kapital, zahiralar, daromadlar va xarajatlar ;Uzoq muddatli aktivlar, majburiyatlar, xususiy kapital, zahiralar, daromadlar va xarajatlar foyda, zararlar
Aksiyadorlarga dividend hisoblansa qanday buxgalteriya provodkasi beriladi?;Dt 8710 Kt 6610 ;Dt 8710 Kt 2910;Dt 6610 Kt 2910;Dt 6610 Kt 9010, 6410
Davolar bo‘yicha hisob-kitoblar (4860 schyot) debeti bo‘yicha qaysi xujjat yozuv uchun asos bo‘ladi?;hisob kitob schyotidan ko‘chirma ;pulni kirim qilish e'loni ;to‘lov topshiriqnomasi ;hisoblashish cheki
Boshqaruv hisobida operasion byudjet tarkibini aniqlang?;Sotish, ishlab chiqarish, TMZ, xaridlar va davr xarajatlari byudjet;TMZ, xaridlar va davr xarajatlari byudjet ;moliyaviy, sotish, ishlab chiqarish va TMZ byudjet ;ishlab chiqarish, TMZ, xaridlar va investision byudjet
Boshqaruv hisobida transfert bahoga berilgan ta'rifni aniqlang? ;korxona ichida bir javobgarlik markazidan boshqa javobgarlik markaziga o‘tkaziladigan mahsulotlar baxosini aniqlash uchun foydalaniladigan bahodir ;mahsulot tannarxini aniqlash bo‘lib, unda zararsizlik ishlab chiqarish xajmi hisob-kitob qilinadi;mahsulotlarning to‘liq tannarxini ifodalaydi ;mahsulotning sotish qiymatidir
Maslahat, axborot xizmatlariga, shuningdek buxgalteriya hisobini yuritish va tiklash bo‘yicha xizmatlarga haq to‘lash bo‘yicha xarajatlarga berilgan buxgalteriya provodkasini aniqlang? ;Dt 9420 Kt 6990 ;Dt 2010 Kt 6010 ;Dt 9420 Kt 6710 ;Dt 6010 Kt 6710
Asosiy vositalarga amortizasiya hisoblashda to‘g‘ri chiziqli usulining mohiyati nimadan iborat?;Asosiy vositani foydali ishlatishning butun davri mobaynida eskirishning doimiy summalarini hisoblab yozishdan iborat;Muntazam hisoblab yozilayotgan summalar foydali ishlatish muddati davomida kamayadi ;Amortizasiya miqdori faqat asosiy vosita qancha marta ishlatilishiga yoki qancha mahsulot birligi ishlab chiqarilishi kutilayotganiga bog‘liq bo‘ladi ;Amortizasiya summasi hisoblash koeffisientining maxraji bo‘lgan ob'ektning xizmat muddati yig‘indisi bilan aniqlanadi
Balans tengligi ifodasini aniqlang? ;Aktivlar = Majburiyatlar + Xususiy kapital ;Aktiv = Xususiy kapital ;Majburiyat = Uzok muddatli aktivlar ;Aylanma aktivlar = Uzoq muddatli aktivlar
Hisob siyosatiga berilgan ta'rifni aniqlang? ;moliyaviy hisobotni tayyorlash xamda takdim etish uchun korxona tomonidan kabul kilingan anik tamoyillar, asoslar, kelishuvlar, koidalar va amaliyotlardir ;korxonada buxgalteriya hisobini yuritish buyicha konunchilik xujjatlari xamda metodik tavsiyalardir ;maxalliy idoralarning buxgalteriya hisobini tartibga solishga oid kursatmalari va korxonaning ishchi schetlar rejasidir ;muayyan korxonaning moliyaviy hisobotni tayyorlash xamda takdim etish buyicha umumiy amaliyotidir
Quyida keltirilganlarning qaysi biri pul mablag‘larining xarakati to’g’risidagi hisobotda moliyaviy faoliyatga tegishli bo‘ladi? ;Asosiy vositalarni sotishdan olingan pul tushumlari;Kredit summalarini pul mablag’lari bilan qaytarish ;Korxona ishchilariga hamda ular nomidan pul to’lovlari ;Boshqa kompaniyalarning ulushli yoki qarz vositalarini sotishdan kelib tushadigan pul mablag’lari
Qaysi xarajatlar zaxiralar tannarxidan chiqariladi xamda ularning vujudga kelish davrida xarajatlar sifatida tan olinadi?  ;mahsulotni sotish xarajatlari ;xom-ashyolardagi me'yoriy yuqotishlar ;ishlab chiqarishdagi ustama xarajatlar ;navbatdagi bosqichga utish uchun ishlab chiqarish jarayonida zarur bulgan saqlash xarajatlari
Hisobot davrining oxirida soliqlar va boshqa majburiy to‘lovlarni to‘lash uchun foydaning ishlatilishini hisobga oluvchi schyotlarning yopilishi bo‘yicha buxgalteriya provodkasini aniqlang?;Dt 9910      Kt 9810. 9820 ;Dt 9910      Kt 9010;Dt 9810, 9820 Kt 9910 ;Dt 8710      Kt 9910
Kreditlar va qarzlar bo‘yicha foizlar hisoblandi, buxgalteriya provodkasini aniqlang?;Dt 9610 Kt 6920;Dt 6920 Kt 9610 ;Dt 6820 Kt 9910;Dt 9610 Kt 9910
Korxona ustavi ro‘yxatdan o‘tganda qanday buxgalteriya provodkasi beriladi? ;Debet 4610 Kredit 8310 ;Debet 8310 Kredit 8310;Debet 4610 Kredit 8510;Debet 8810 Kredit 8310
Yalpi fоyda, davr хarajatlari, hamda asоsiy faоliyatning bоshqa darоmad va хarajatlari ko’rsatkichlari yordamida qanday fоyda turini aniqlash mumkin? ;asоsiy faоliyatdan оlingan fоydani ;sоf fоydani ;sоliq to’langungacha оlingan fоydani ;yalpi fоydani
L Xaridorlarga tayyor mahsulot jo‘natildi (QQS bilan) va puli kelib tushdi. Ushbu muomalalarni schyotlarda aks ettiring?;Debet 4010 Kredit 9010 Kredit 6410 Debet 5110 Kredit 4010;Debet 4010 Kredit 2810 Kredit 6410 Debet 9010 Kredit 5110 ;Debet 4010 Kredit 9010 Kredit 6410 Debet 9010 Kredit 5110;
Uzoq muddatli investisiyalarni hisobga olish uchun nechta schyotlardan foydalanish ko‘zda tutilgan? ;5 ;7;9;10
Nomoddiy aktivlar tarkibiga kiruvchi ob'ekt, ya'ni patent deganda nimani tushunasiz?;bu yuridik jihatdan tan olingan va ro‘yxatga olingan mutlaq huquqdir ;ishlab chiqarish xo‘jalik faoliyati jarayonida foyda keltiruvchi yangi texnologiyadir ;mahsulot yoki xizmatlarga oid berilgan nomlar, ramzlar yoki boshqa xil (aniqlab beruvchi) identifikasiyalardir ;odatda davlat tomonidan davlat mol-mulkidan (masalan, kabel' televideniesi kompaniyasi) foydalanish huquqiga egalik qilish uchun yoki kommunal xizmatlar ko‘rsatish huquqidir
Boshqaruv hisobining elementlarini aniqlang?;xarajatlar, mahsulot tannarxi. byudjetlashtirish, segmentar hisobot va transfert bahoni shakllantirish;mahsulot tannarxini aniqlash, transfert baho, kapital va segmentar hisob ;byudjetlashtirish, aktivlar, xarajatlar hisobi va segmentar hisobot ;segmentar hisobot. xarajatlar, majburiyatlar va byudjetlashtirish
Ustav kapitali deganda nimani tushunasiz?;ta'sis hujjatida belgilangan doiradagi faoliyatni ta'minlash uchun ta'sischilarning korxona mulkiga qo‘ygan mablag‘larining pul ifodasidagi yig‘indisidir ;belgilangan doiradagi faoliyatni ta'minlash uchun ta'sischilarning korxona mulkiga qo‘ygan mablag‘larining naturadagi yig‘indisidir ;Oddiy va imtiyozli aksiyalarni sotishdan olingan summalarning aksiyalar nominal qiymatidan oshgan miqdoridir ;Korxona ta'sis hujjatlariga asosan foyda hisobidan shakllantiriladigan rezerv kapitalidir
Sotilgan mahsulot (ishlar, hizmatlar) tannarxi moliyaviy natijalar to‘g‘risidagi hisobot (2-shakl) ning nechanchi satrida ko‘rsatiladim? ;030 ;040;050;060
Hisobot davri oxiriga qolgan sof foydani balansga o‘tkazish nima deb ataladi?;balans reformasiyasi ;balansni to‘g‘rilash ;foydani taqsimlash ;moliyaviy natijalarni shakllantirish
.... bu bo`linma rahbari ham xarajatlar, ham foyda uchun javob beradigan bo`linmadir.;foyda markazi;xarajatlar markazi ;sotish markazi ;xarajatlar markazi, sotish markazi
Agar nomoddiy aktivning xizmat muddati aniq bo’lmasa ushbu nomoddiy aktivning foydali xizmat muddati nechi yil deb olinadi?;5 ;2;3;4
Agar ustav kapitaliga 4 kishi tomonidan ulush kiritish yo’li bilan tashkil etilgan bo’lsa hisobot davrining foydasi ta’sischilar o’rtasida qanday taqsimlanadi?;Ulushlar nisbatiga mutanosib ravishda ;Tasis shartnomalariga asosan ;Foiz ko’rinishidagi daromadlar nisbatiga mutanosib ravishda ;Foyda summasiga bog'liq
Aksiyalardan olinadigan dividend ko’rinishidagi daromad bu- . . .?;moliyaviy faoliyat daromadlari;xususiylashtirish rejasi, mulk bahosi va ustav ;sotishdan daromad ;emission daromad
Aksiyadorlik jamiyatining ustavini ishlab chiqish va davlat mulkini boshqarish qo’mitasiga zarur bo’ladigan xujjatlar? ;xususiylashtirish rejasi, mulk bahosi va ustav ;mulk bahosi ;xususiylashtirish rejasi mulk bahosi ;ustav
Nomoddiy aktivlarga amortizatsiya hisoblanayotganda qaysi usulda jamg’arilgan eskirish hisobga olinmaydi?;kamayib boruvchi qoldiq usuli ;kumulyativ ;sonlar yug’indisi ;ishlab chiqarish usuli
Nomoddiy aktivlarga amortizatsiya hisoblanayotganda qaysi qiymatlardan foydalaniladi?qaysi usulda jamg’arilgan eskirish hisobga olinmaydi? ;Boshlang’ich va tugatish qiymatidan ;Bozor qiymatidan ;Joriy qiymatdan ;Balans qiymati
Nomoddiy aktivlarni hisobini yuritishda quyidagi BHMSning qaysi biri qo’llaniladi?;7-BHMS;4-BHMS ;6-BHMS ;5-BHMS
Bahoni shakllantirish bo‘yicha ichki omillarga qaysi omil kiradi? ;mahsulotni ishlab chiqarish tannarxi ;tovarning bahosi ;tovarga bozordagi umumiy talab ;tovarning sifati va bahosi
Foyda qanday taqsimlanadi?;Aktsiya va kapital egalariga dividеndlar to’lashga;Ishlab chiqarishni rivojlantirish va zaxiralashga ;Soliq qonunchiligiga muvofiq davlat byudjеtiga soliqlar, yigimlar va to’lovlarga ;Ishlab chiqarishdagi ishchilarga ish haqi qilib beriladi
Gudvil qanday aniqlanadi?;Sotib olish narxiga korxona majburiyatlari qo’shilib korxona aktivlarining ayirmasi ;Korxona aktivlaridan majburiyatlarining ayirmasi ;Korxona aktivlarini bozor bahosidan arzon narxga sotib olish ;Korxona aktivlarini bozor bahosidan yuqori narxga sotish
Kalkulyatsiya schyotlari qanday maqsad uchun qo’llaniladi?;ishlab chiqarilgan mahsulot (ish va xizmatlar)lar tannarxini aniqlash uchun;mahsulot sotishdan bo’lgan yalpi foydani aniqlash uchun ;bajariladigan ish va xizmatlar tannarxini aniqlashda uchun ;xarajatlarni taqsimlash uchun
Kapital qo’yilmalar deb nimaga aytiladi? ;sub’ekt tomonidan yangi asosiy vositalarni qurish, sotib olish, rekonstruktsiya qilish, foydalanilmayotgan asosiy vositalar ob’ektlarining quvvatlarini kengaytirishga aytiladi ;tegishli vaqtda markaziy bank tomonidan belgilangan valyutaning sumga nisbatan qiymatidir ;ma’lum davr ichida korxona, tarmoq yoki butun xalq xujaligining ishchi va xizmatchilarga beriladigan pul ;faqat kengaytirish, rekonstruksiya qilish, modernizatsiyalashga qilingan xarajatlar yigindisi
Moliyaviy faoliyat harajatlariga qaysi harajatlar kiritiladi?;foiz ko‘rinishidagi harajatlar;ishlab chiqarish harajatlari ;sotish harajatlari ;ma’muriy harajatla
Emission daromad nima?;Aksiyalarning sotishdan olingan summaning uning nominal qiymatidan oshgan miqdori ;Obligatsiyalarni nominal qiymati pasayishidan zarar ;Chiqarilgan obligatsiyalar bo’yicha majburiyat ;Aksiyalarni sotishdan tushgan daromad
Korxonada bo`linmalar bo`yicha boshqaruv hisobini samarali tashkil etish uchun ularni quyidagi belgilarga muvofiq tasniflash lozim?;vakolatlar va javobgarlik hajmiga ko`ra;asosiy ;ustama va markaz bajaradigan funktsiyalar bo`yicha ;asosiy va javobgarlik hajmiga ko`ra
Agar ustav kapitaliga 4 kishi tomonidan ulush kiritish yo’li bilan tashkil etilgan bo’lsa hisobot davrining?;Ulushlar nisbatiga mutanosib ravishda;Tasis shartnomalariga asosan;Foiz ko’rinishidagi daromadlar nisbatiga mutanosib ravishda;Foyda summasiga bog'liq
Hisobot davri oxirida ko'rsatilgan xizmatlarning haqiqiy tannarxi yakuniy moliyaviy natijaga o’tkazilishi?;Debet 9910 Kredit 9130;Debet 9010 Kredit 9910;Debet 9110 Kredit 9910;Debet 9910 Kredit 9020
