Savol;Javob1;Javob2;Javob3;Javob4
Кредитная история это?;специалист изучает качественные исходные данные, такие как отзывы коллег, сообщества, поставщиков, у которых в прошлом были экономические отношения с потенциальным клиентом, а также объективные исходные данные – историю его взаимодействия с банками, предыдущую экономическую деятельность.;невозможность исполнить обязательства по контракту. Это влечет начисление пени, потерю залогового имущества, судебные разбирательства, негативные отметки в персональной истории займов.; это способность погасить долг на основе прогнозируемого профиля доходов и расходов (включая прочие задолженности). Ключевые показатели, используемые при оценке кредитоспособности: отношение долга к доходу, текущий доход, стаж работы, стабильность дохода.;отношение долга к собственному капиталу. Высокий объем выделенного капитала является гарантией снижения угрозы. 
Выберите правильное определение к понятию инвестиционный риск ?;риск недополучения запланированную прибыль в ходе реализации инвестиционного проекта;риск неисполнения дебитором своих обязательств перед поставщиком товаров или провайдером услуг, то есть риск возникновения дефолта дебитора.;риск утраты стоимости актива или снижения величины дохода в реальном выражении из-за инфляции.;риск убытков вследствие неблагоприятного изменения курсов иностранных валют 
Какие факторы влияют на инвестиционный риск?; все ответы верны;изменение налогов;действие контрагентов;политическая ситуация в стране и мире.
Назовите виды инвестиционных рисков;риск упущенной выгоды, риск снижения доходности и риск прямых финансовых потерь;риск концентрации, институциональный риск;риск кредитоспособности заемщика, риск непогашения кредита;операционный риск, трансляционный риск, экономический риск 
Как называется риск наступления косвенного финансового ущерба в результате неосуществления какого-либо мероприятия?;риск упущенной выгоды;риск снижения доходности.;риск прямых финансовых потерь;кредитный риск 
Что из нижеперечисленных относится к методам основанных на учетных оценках инвестиционный проектов?;метод оценки проектов по сроку окупаемости, , метод оценки проектов по бухгалтерской норме доходности;метод оценки проектов по внутренней норме доходности, метод оценки проектов по бухгалтерской норме доходности;метод расчёта проектов по дисконтированному сроку окупаемости, метод расчёта индекса чистой доходности;метод оценки проектов по сроку окупаемости, метод оценки по чистой приведённой стоимости   
Какие риски подразделяются внутренние инвестиционные риски?;производственные и коммерческие;коммерческие и экономические;производственные и политические;отраслевые и природные 
Как называется комплекс взаимоувязанных мероприятий, направленных на осуществление либо привлечение инвестиций для получения экономических, социальных и других выгод?;инвестиционный проект;инвестиционный портфель;инвестиционный риск;все ответы верны 
В чём заключается суть метода оценки проектов по бухгалтерской норме доходности?;данный метод сравнивает среднегодовое увеличение доходности проекта после вычета затрат на первоначальные инвестиции с суммой первоначальных инвестиций;данный метод характеризует доходность инвестиционной деятельности предприятия;данный метод предполагает временной упорядоченности денежных поступлений;все ответы верны 
Назовите причины неопределенности инвестиционных проектов;все ответы верны;количественная неопределенность, обусловленная значительным числом факторов, влияющих на инвестиционный проект;  неопределенность внешней среды, связанная с влиянием конкурентов на данный инвестиционный проект;стоимостная неопределенность, связанная с высокой платой за определенность;  ограничительная неопределенность, связанная с существенными ограничениями в ходе планирования и реализации инвестиционного проекта;информационная неопределенность, вызванная недостатком информации или ее неточностью;  профессиональная неопределенность как следствие недостаточных профессиональных и специальных знаний у инвестора;
Что из себя представляет операционной валютный риск?;возникает при заключении кредитных соглашений в иностранной валюте и всегда сопровождает внешнеторговые сделки.;относится к изменениям бухгалтерских стоимостей прибыли и собственного капитала компании, произошедших из-за колебаний валютного курса, при этом возврат валютного курса к своему прежнему значению может устранить неблагоприятный результат пересчета.;вероятность неблагоприятного воздействия изменений валютного курса на экономическое положение компании. Ему подвержены компании, занимающиеся экспортно-импортными операциями, а также работающие только на внутреннем рынке.;информационная неопределенность, вызванная недостатком информации или ее неточностью;  профессиональная неопределенность как следствие недостаточных профессиональных и специальных знаний у инвестора;
Что из себя представляют экономические валютные риски?;вероятность неблагоприятного воздействия изменений валютного курса на экономическое положение компании. Ему подвержены компании, занимающиеся экспортно-импортными операциями, а также работающие только на внутреннем рынке.;относится к изменениям бухгалтерских стоимостей прибыли и собственного капитала компании, произошедших из-за колебаний валютного курса, при этом возврат валютного курса к своему прежнему значению может устранить неблагоприятный результат пересчета.;возникает при заключении кредитных соглашений в иностранной валюте и всегда сопровождает внешнеторговые сделки.;риск упущенной выгоды, риск снижения доходности и риск прямых финансовых потерь 
Что из себя представляет трансляционный валютный риск?;относится к изменениям бухгалтерских стоимостей прибыли и собственного капитала компании, произошедших из-за колебаний валютного курса, при этом возврат валютного курса к своему прежнему значению может устранить неблагоприятный результат пересчета.;возникает при заключении кредитных соглашений в иностранной валюте и всегда сопровождает внешнеторговые сделки.;вероятность неблагоприятного воздействия изменений валютного курса на экономическое положение компании. Ему подвержены компании, занимающиеся экспортно-импортными операциями, а также работающие только на внутреннем рынке.;информационная неопределенность, вызванная недостатком информации или ее неточностью;  профессиональная неопределенность как следствие недостаточных профессиональных и специальных знаний у инвестора;
… это преднамеренное повышение стоимости валюты правительством страны;ревальвация;девальвация;процентная ставка;таргетирование
… это обесценивание национальной валюты по отношению к другим валютам или по отношению к золоту.;девальвация;ревальвация;процентная ставка;таргетирование
Что из себя представляют опцион?; это контракт, дающий право купить или продать биржевой товар по определённой цене;это соглашение об обязательстве купли продажи актива по заранее оговоренной цене в заранее оговоренное время;это сумма, которая будет равняться инвестированным деньгам к определенной дате;торгово – финансовая обменная операция в виде обмена разнообразными активами
Что из себя представляют фьючерсы?;это соглашение об обязательстве купли продажи актива по заранее оговоренной цене в заранее оговоренное время;это сумма, которая будет равняться инвестированным деньгам к определенной дате;это контракт, дающий право купить или продать биржевой товар по определённой цене;торгово – финансовая обменная операция в виде обмена разнообразными активами
Инвестиционные риски включают в себя :;риск прямых финансовых потерь, риск упущенный выгоды, риск снижения уровня доходности.;риск упущенный выгоды, риск снижения , инфляционный риск, процентный риск; процентный риск, рыночный риск, инфляционный риск;инфляционный риск , процентный риск, риск упущенный выгоды
При ревальвации цена на импортные товары …;снижается;растёт;не меняется;зависит от состояние рынка
При девальвации цена на экспортные товары …;снижается;растёт;не меняется;зависит от состояние рынка
Валютное хеджирование это -;заключение сделок на продажу или покупку иностранной валюты, чтобы избежать колебания цены.;порядок включения ценных бумаг в котировальный лист фондовой биржи и биржевых торгов; возможность привлечения ресурсов для компаний, которые понесли убытки или не имеют достаточного залога для банковского кредита;гарантия выплаты процентов
В чем особенность обязательного страхования?;применяется автоматически в силу закона;используется в интересах страховщика и страхователя;осуществляется на основе интересов государства неблагоприятных природных событий;Нет верного ответа
Какая отрасль страхования в качестве объекта имеет ущерб, нанесенный третьим лицам?;страхование ответственности;страхование рисков;страхование экономических рисков; имущественное страхование
Как называются продавцы страховых услуг?;страховщики;Страхователи;Застрахованные;страховые агенты
Что является финансовой целью деятельности страховой организации?;получение прибыли;оказание услуг населению;уплата налогов в бюджет;захват страховых рынков
Что из нижеперечисленных не относится к финансовым активам;товарные знаки, лицензии, патенты, разрешения, программные продукты. Все они также имеют свою стоимость и участвуют в бизнес-процессе.;денежные средства, включая кассовую наличность, и средства на банковских счетах;ценные бумаги: акции, паи других компаний, опционы на акции и так далее;расчетные документы в пути и так далее
Что из нижеперечисленных не относится к материальным активам;товарные знаки, лицензии, патенты, разрешения, программные продукты;физическое имущество компании, которое используется для целей бизнеса;здания и сооружения, оборудование, товары на складе, компьютеры;мебель, топливо, инструменты
Когда был принят Указ Президента «О мерах по реализации Инвестиционной программы Республики Узбекистан на 2020-2022 годы» ?;№PQ-4563, 09.01.2020;№PQ-4563, 10.12.2019;№PQ-4563, 05.01.2020;№PQ-4563, 09.12.2019
Процентной ставкой называют …;обещанную ставку доходности по заимствованным средствам.;финансовые потери, вызванные неблагоприятными колебаниями процентных ставок, которые приводят к увеличению стоимости процентных платежей или снижению доходов по депозитам и кредитам;заключение сделок на продажу или покупку иностранной валюты, чтобы избежать колебания цены.;это сумма, которая будет равняться инвестированным деньгам к определенной дате 
Укажите формулы для расчета простых процентов.; FV = PV x (1 + n x i);Sp=S * P * T * /K/100;Tpp=Io/st; NPV= Rt / (1+i)t
Какие факторы  влияют на размер процентной ставки;валюта расчётов, период оплаты, риск не уплаты;риск не уплаты финансовых обязательств,   валюта расчётов, инфляционный риск;период оплаты, риск не уплаты , риск кредитоспособности;валюта расчётов, период оплаты, валютный риск
Операционный валютный риск;возникает при заключении кредитных соглашений в иностранной валюте и всегда сопровождает внешнеторговые сделки.;вероятность неблагоприятного воздействия изменений валютного курса на экономическое положение компании. Ему подвержены компании, занимающиеся экспортно-импортными операциями, а также работающие только на внутреннем рынке.;это риск потерь при покупке-продаже иностранной валюты по разным курсам, т.е. возможность денежных потерь в результате колебаний валютных курсов.;относится к изменениям бухгалтерских стоимостей прибыли и собственного капитала компании, произошедших из-за колебаний валютного курса, при этом возврат валютного курса к своему прежнему значению может устранить неблагоприятный результат пересчета.
Трансляционный валютный риск …;относится к изменениям бухгалтерских стоимостей прибыли и собственного капитала компании, произошедших из-за колебаний валютного курса, при этом возврат валютного курса к своему прежнему значению может устранить неблагоприятный результат пересчета.;это риск потерь при покупке-продаже иностранной валюты по разным курсам, т.е. возможность денежных потерь в результате колебаний валютных курсов.;вероятность неблагоприятного воздействия изменений валютного курса на экономическое положение компании. Ему подвержены компании, занимающиеся экспортно-импортными операциями, а также работающие только на внутреннем рынке.;возникает при заключении кредитных соглашений в иностранной валюте и всегда сопровождает внешнеторговые сделки.
Твёрдая валюта это . . .;Валюта которая устойчива , надёжна, легко и широко используется для международный транзакций и принадлежит странам с политической стабильностью;Валюта которой не доверяют для международного обмена или инвестиций и которая принадлежит стране с нестабильными или шаткими политическими условиями;Валюта с низким уровнем инфляции которая пользуется во всём мире;Валютный курс который позволяет зафиксировать текущую стоимость средств.
Экономический валютный риск . . .;вероятность неблагоприятного воздействия изменений валютного курса на экономическое положение компании. Ему подвержены компании, занимающиеся экспортно-импортными операциями, а также работающие только на внутреннем рынке.;возникает при заключении кредитных соглашений в иностранной валюте и всегда сопровождает внешнеторговые сделки.;это риск потерь при покупке-продаже иностранной валюты по разным курсам, т.е. возможность денежных потерь в результате колебаний валютных курсов.;относится к изменениям бухгалтерских стоимостей прибыли и собственного капитала компании, произошедших из-за колебаний валютного курса, при этом возврат валютного курса к своему прежнему значению может устранить неблагоприятный результат пересчета.
При падении цен на рынке корпоративных акций при прочих равных условиях доходности на рынке гособлигаций:;Растут;Падают;Нейтральны;Меняются в зависимости от состояния рынка
К методам управления валютным риском можно отнести; лимитирование, хеджирование;защитные оговорки;стоп-лоссы, ВРМ;диверсификацию валютного портфеля
Для покупателя более рискованным является опцион; put;стратегия collar;Call;Все ответы верны 
Отметьте потери, которые можно отнести к трудовым; потери рабочего времени;уменьшение выручки вследствие снижения цен на реализуемую продукцию;уплата дополнительных налогов, потери материалов;потери сырья, потери рабочего времени
Отметьте потери, которые можно отнести к финансовым; потери ценных бумаг, выплата штрафа, уплата дополнительных налогов, уменьшение выручки вследствие снижения цен на реализуемую продукцию;штрафа, уплата дополнительных налогов, уменьшение выручки вследствие снижения цен на реализуемую продукцию, потери рабочего времени;потери материалов, потери ценных бумаг, выплата штрафа, потери рабочего времени;ущерб репутации, потери материалов, потери ценных бумаг, выплата штрафа, потери рабочего времени
Идентификация риска – это…; начальный этап системы мероприятий по управлению рисками, состоящий в систематическом выявлении рисков, характерных для определенного вида деятельности, и определении их характеристик;систематизация множества рисков на основании каких-либо признаков и критериев, позволяющих объединить подмножества рисков в более общие понятия;систематическое научное исследование степени риска, которому подвержены конкретные объекты, виды деятельности и проекты;систематическое научное исследование степени риска, которому не подвержены конкретные объекты, виды деятельности и проекты
Риски, которые могут нести в себе как потери, так и дополнительную прибыль, называются; спекулятивными;критическими;Чистыми;Систематичными 
Риски, обусловленные деятельностью самого предприятия и его контактной аудиторией, называются; внутренними;внешними;Чистыми;Оперативными 
Систематизация множества рисков на основании каких-либо признаков и критериев, позволяющих объединить подмножества рисков в более общие понятия называется; классификацией рисков;анализом рисков;идентификацией рисков;минимизацией рисков
Отметьте потери, которые можно отнести к материальным; потери материалов, потери сырья;уменьшение выручки вследствие снижения цен на реализуемую продукцию;невыполнение сроков сдачи объекта, потери рабочего времени;уплата дополнительных налогов, выплата штрафа
Законодательные факторы риска -; изменение действующих норм с выходом новых законодательных и нормативных актов (введение новых налогов, отмена налоговых льгот, повышение налоговых ставок и т. д.);объем рынка сбыта, степень ценовой и неценовой конкуренции, легкость вхождения в отрасль, наличие или недостаток близких и конкурентоспособных по цене заменителей, рыночная способность покупателей, рыночная способность поставщиков и т. д.;стихийные бедствия, загрязнение окружающей среды;появление новых технологий и видов деятельности, появление новой технологии производства с меньшими издержками, освоение производства замещающих товаров, внедрение инноваций, моральный износ основных фондов и технологий
Отраслевые факторы риска -; объем рынка сбыта, степень ценовой и неценовой конкуренции, легкость вхождения в отрасль, наличие или недостаток близких и конкурентоспособных по цене заменителей, рыночная способность покупателей, рыночная способность поставщиков и т. д.;изменение действующих норм с выходом новых законодательных и нормативных актов (введение новых налогов, отмена налоговых льгот, повышение налоговых ставок и т. д.);стихийные бедствия, загрязнение окружающей среды;появление новых технологий и видов деятельности, появление новой технологии производства с меньшими издержками, освоение производства замещающих товаров, внедрение инноваций, моральный износ основных фондов и технологий
Природные факторы риска -; стихийные бедствия, загрязнение окружающей среды;изменение действующих норм с выходом новых законодательных и нормативных актов (введение новых налогов, отмена налоговых льгот, повышение налоговых ставок и т. д.);объем рынка сбыта, степень ценовой и неценовой конкуренции, легкость вхождения в отрасль, наличие или недостаток близких и конкурентоспособных по цене заменителей, рыночная способность покупателей, рыночная способность поставщиков и т. д.;появление новых технологий и видов деятельности, появление новой технологии производства с меньшими издержками, освоение производства замещающих товаров, внедрение инноваций, моральный износ основных фондов и технологий
Научно-технические факторы риска -; появление новых технологий и видов деятельности, появление новой технологии производства с меньшими издержками, освоение производства замещающих товаров, внедрение инноваций, моральный износ основных фондов и технологий;изменение действующих норм с выходом новых законодательных и нормативных актов (введение новых налогов, отмена налоговых льгот, повышение налоговых ставок и т. д.);объем рынка сбыта, степень ценовой и неценовой конкуренции, легкость вхождения в отрасль, наличие или недостаток близких и конкурентоспособных по цене заменителей, рыночная способность покупателей, рыночная способность поставщиков и т. д.;стихийные бедствия, загрязнение окружающей среды;
Производственные факторы риска -; особенности технологического процесса на конкретном предприятии, уровень квалификации работников, организация поставок сырья и материалов, осуществление транспортных перевозок и т. д.;изменение действующих норм с выходом новых законодательных и нормативных актов (введение новых налогов, отмена налоговых льгот, повышение налоговых ставок и т. д.);объем рынка сбыта, степень ценовой и неценовой конкуренции, легкость вхождения в отрасль, наличие или недостаток близких и конкурентоспособных по цене заменителей, рыночная способность покупателей, рыночная способность поставщиков и т. д.;стихийные бедствия, загрязнение окружающей среды;
Коммерческие факторы риска -; издержки производства и обращения, объем реализации, норма прибыли, качество товара, объем спроса и предложения, потеря товара в процессе оборота и т. д.;изменение действующих норм с выходом новых законодательных и нормативных актов (введение новых налогов, отмена налоговых льгот, повышение налоговых ставок и т. д.);объем рынка сбыта, степень ценовой и неценовой конкуренции, легкость вхождения в отрасль, наличие или недостаток близких и конкурентоспособных по цене заменителей, рыночная способность покупателей, рыночная способность поставщиков и т. д.;стихийные бедствия, загрязнение окружающей среды;
Вид рисков предприятий по совокупности исследуемых инструментов:; индивидуальный финансовый риск ; портфельный финансовый риск;простой финансовый риск ; сложный финансовый риск;внешний или систематический риск; внутренний или не систематический риск;риск, влекущий только экономические потери ; риск, влекущий упущенную выгоду ; риск, влекущий как экономические потери, так и дополнительные доходы
Вид рисков предприятий по комплексности:; простой финансовый риск ; сложный финансовый риск;индивидуальный финансовый риск ; портфельный финансовый риск;внешний или систематический риск; внутренний или не систематический риск;риск, влекущий только экономические потери ; риск, влекущий упущенную выгоду ; риск, влекущий как экономические потери, так и дополнительные доходы
Вид рисков предприятий по источникам возникновения:; внешний или систематический риск; внутренний или не систематический риск;индивидуальный финансовый риск ; портфельный финансовый риск;простой финансовый риск ; сложный финансовый риск;риск, влекущий только экономические потери ; риск, влекущий упущенную выгоду ; риск, влекущий как экономические потери, так и дополнительные доходы
Вид рисков предприятий по финансовым последствиям:; риск, влекущий только экономические потери ; риск, влекущий упущенную выгоду ; риск, влекущий как экономические потери, так и дополнительные доходы;индивидуальный финансовый риск ; портфельный финансовый риск;простой финансовый риск ; сложный финансовый риск;внешний или систематический риск; внутренний или не систематический риск
Селективные риски -; это риски неправильного выбора способа вложения капитала, вида ценных бумаг для инвестирования в сравнении с другими видами ценных бумаг при формировании инвестиционного портфеля.;представляет собой опасность в результате неправильного выбора способа вложения капитала, полной потери предпринимателем собственного капитала и неспособности его рассчитываться по взятым на себя обязательствам. В результате предприниматель становится банкротом.;это риск того, что при росте инфляции получаемые денежные доходы обесцениваются с точки зрения реальной покупательной способности быстрее, чем растут. Этот вид риска характеризуется возможностью обесценения реальной стоимости капитала (в форме финансовых активов предприятия), а также ожидаемых доходов от осуществления финансовых операций в условиях инфляции.;это риск того, что при росте дефляции происходит падение уровня цен, ухудшение экономических условий предпринимательства и снижение доходов. И в том и в другом случае предприниматель несет реальные финансовые потери.
Риск банкротства; представляет собой опасность в результате неправильного выбора способа вложения капитала, полной потери предпринимателем собственного капитала и неспособности его рассчитываться по взятым на себя обязательствам. В результате предприниматель становится банкротом.;это риски неправильного выбора способа вложения капитала, вида ценных бумаг для инвестирования в сравнении с другими видами ценных бумаг при формировании инвестиционного портфеля.;это риск того, что при росте инфляции получаемые денежные доходы обесцениваются с точки зрения реальной покупательной способности быстрее, чем растут. Этот вид риска характеризуется возможностью обесценения реальной стоимости капитала (в форме финансовых активов предприятия), а также ожидаемых доходов от осуществления финансовых операций в условиях инфляции.;это риск того, что при росте дефляции происходит падение уровня цен, ухудшение экономических условий предпринимательства и снижение доходов. И в том и в другом случае предприниматель несет реальные финансовые потери.
Дефляционный риск; это риск того, что при росте дефляции происходит падение уровня цен, ухудшение экономических условий предпринимательства и снижение доходов. И в том и в другом случае предприниматель несет реальные финансовые потери.;это риски неправильного выбора способа вложения капитала, вида ценных бумаг для инвестирования в сравнении с другими видами ценных бумаг при формировании инвестиционного портфеля.;это риск того, что при росте инфляции получаемые денежные доходы обесцениваются с точки зрения реальной покупательной способности быстрее, чем растут. Этот вид риска характеризуется возможностью обесценения реальной стоимости капитала (в форме финансовых активов предприятия), а также ожидаемых доходов от осуществления финансовых операций в условиях инфляции.;представляет собой опасность в результате неправильного выбора способа вложения капитала, полной потери предпринимателем собственного капитала и неспособности его рассчитываться по взятым на себя обязательствам. В результате предприниматель становится банкротом.
Совокупный размер рыночного риска рассчитывается по формуле; РР = 12,5 * (ПР + ФР+ ВР),;Sp=S * P * T * /K/100;NPV= Rt / (1+i)t; FV = PV x (1 + n x i)
Типичные характеристики процентного свопа по величине  :; от 1 до 500 млн долл;от 100 до 1 млн долл;от 1 до 1000 долл;от  10 до 100 млн долл
Типичные характеристики процентного свопа по сроку  :; от 1 до 15 лет, но обычно от 2 до 5 лет;1 финансовый год;1 календарный год;от 1 до 5 лет, но чаще от 3 до 5 лет 
Номинальная процентная ставка равна:; ожидаемая, реальная, безрисковая процентная ставка + ожидаемый уровень инфляции + риск прямая (риск несоблюдения срока, риск непогащения).;ожидаемая, реальная, безрисковая процентная ставка  -  ожидаемый уровень инфляции + риск прямая (риск несоблюдения срока, риск непогащения)* 100;ожидаемая, реальная, безрисковая процентная ставка + ожидаемый уровень инфляции /100;ожидаемая, реальная, безрисковая процентная ставка - ожидаемый уровень инфляции 
Реальная процентная ставка; это такой уровень процентной ставки, который необходим, чтобы заинтересовать потребителя оберегать часть его дохода.;разница между фьючерсной ценой и ценой, производной от наличной, — выражает соотношение между расходами на финансирование и доходами, допустим, по облигации.;возникает в тех случаях, когда банк привлекает и размещает ресурсы по одной и той же базовой ставке, но с некоторым временным разрывом даты их пересмотра. Риск появляется в связи с выбором даты их пересмотра.;По всем финансовым инструментам, включенным в состав торго¬вого портфеля, рассчитываются длинные и короткие позиции. 
Базис; разница между фьючерсной ценой и ценой, производной от наличной, — выражает соотношение между расходами на финансирование и доходами, допустим, по облигации.;это такой уровень процентной ставки, который необходим, чтобы заинтересовать потребителя оберегать часть его дохода.;возникает в тех случаях, когда банк привлекает и размещает ресурсы по одной и той же базовой ставке, но с некоторым временным разрывом даты их пересмотра. Риск появляется в связи с выбором даты их пересмотра.;По всем финансовым инструментам, включенным в состав торго¬вого портфеля, рассчитываются длинные и короткие позиции. 
Маржа между процентными доходами от активов и процентными расходами по обязательствам должна быть . . .; положительной.;отрицательной;равной;больше 10 %  
Недостатков общего хеджирования; довольно существенные суммарные затраты на комиссионные брокерам и премии опционов..;волатильность на рынке ценных бумаг;высокий уровень инфляции;некомпетентные тредеры
Факторы, вызывающие инфляционные риски:; девальвация национальной валюты, государственный контроль экспортно-импортных отношений, снижение доступности кредитов и повышения процентов по займу, возможный уход капитала из страны.;компания не может воздействовать на его величину, может только управлять его последствиями , скрытый риск;возможный уход капитала из страны, высокий уровень инфляции , девальвация национальной валюты;Все ответы верны
Инвестиционный риск включает в себя; риск упущенной выгоды, риск прямых финансовых потерь и риск снижения доходности.;риск снижения доходности, риск высокой инфляции, процентный риск;риск прямых финансовых потерь и риск снижения доходности, риск не уплаты обязанностей;риск снижения доходности, риск высокой инфляции, процентный риск, риск не уплаты дивидентов.
. . . рассчитывается как разность дисконтированных денежных потоков поступлений и платежей, связанных с реализацией инвестиционного проекта за весь период; NPV;CAPM;WACC;ARR
Положительное значение NPV свидетельствует о …; целесообразности реализации инвестиционного проекта;неоправданности  инвестиционного проекта;не целесообразности реализации инвестиционного проекта;том что проект не оправдает ожидаемой доходности 
Вероятностный анализ; вероятность возникновения потерь определяется на основе статистических данных предшествовавшего периода с установлением области (зоны) риска, достаточности инвестиций, коэффициента риска.;метод применяется в случае отсутствия или недостаточного объема исходной информации и состоит в привлечении экспертов для оценки рисков.;предполагает использование базы данных уже реализованных аналогичных проектов для переноса их результатов на разрабатываемый проект.;развития проекта предполагает разработку нескольких вариантов (сценариев) развития проекта и их сравнительную оценку. 
Экспертный анализ; метод применяется в случае отсутствия или недостаточного объема исходной информации и состоит в привлечении экспертов для оценки рисков.;вероятность возникновения потерь определяется на основе статистических данных предшествовавшего периода с установлением области (зоны) риска, достаточности инвестиций, коэффициента риска.;предполагает использование базы данных уже реализованных аналогичных проектов для переноса их результатов на разрабатываемый проект.;развития проекта предполагает разработку нескольких вариантов (сценариев) развития проекта и их сравнительную оценку. 
Метод аналогов; предполагает использование базы данных уже реализованных аналогичных проектов для переноса их результатов на разрабатываемый проект.;вероятность возникновения потерь определяется на основе статистических данных предшествовавшего периода с установлением области (зоны) риска, достаточности инвестиций, коэффициента риска.;метод применяется в случае отсутствия или недостаточного объема исходной информации и состоит в привлечении экспертов для оценки рисков.;развития проекта предполагает разработку нескольких вариантов (сценариев) развития проекта и их сравнительную оценку. 
Анализ сценариев; развития проекта предполагает разработку нескольких вариантов (сценариев) развития проекта и их сравнительную оценку.;вероятность возникновения потерь определяется на основе статистических данных предшествовавшего периода с установлением области (зоны) риска, достаточности инвестиций, коэффициента риска.;метод применяется в случае отсутствия или недостаточного объема исходной информации и состоит в привлечении экспертов для оценки рисков.;предполагает использование базы данных уже реализованных аналогичных проектов для переноса их результатов на разрабатываемый проект.
Имитационные методы; основаны на пошаговом нахождении значения результирующего показателя путем проведения многократных опытов с моделью.;вероятность возникновения потерь определяется на основе статистических данных предшествовавшего периода с установлением области (зоны) риска, достаточности инвестиций, коэффициента риска.;метод применяется в случае отсутствия или недостаточного объема исходной информации и состоит в привлечении экспертов для оценки рисков.;предполагает использование базы данных уже реализованных аналогичных проектов для переноса их результатов на разрабатываемый проект.
Задачей качественного анализа риска является; все ответы верны;определение потенциальных зон риска;выявление рисков, сопутствующих деятельности предприятия;прогнозирование практических выгод и возможных негативных последствий проявления выявленных рисков.
Самый дешёвый метод минимизации валютного риска; лимитирование;хеджирование;диверсификация;таргетирование
Диверсификация портфеля ценных бумаг -;Позволяет снижать уровень несистематического риска портфеля, не уменьшая при этом уровень его доходности;Включение в программу инвестирования различных инвестиционных проектов с альтернативной отраслевой и региональной направленностью, что позволяет снизить общий инвестиционный риск по программе.;Расширение круга покупателей продукции предприятия и направлена на уменьшение его кредитного риска.;Размещение крупных сумм временно свободных денежных средств на хранение в нескольких банках 
Диверсификация кредитного портфеля -;Расширение круга покупателей продукции предприятия и направлена на уменьшение его кредитного риска.;Включение в программу инвестирования различных инвестиционных проектов с альтернативной отраслевой и региональной направленностью, что позволяет снизить общий инвестиционный риск по программе.;Позволяет снижать уровень несистематического риска портфеля, не уменьшая при этом уровень его доходности;Размещение крупных сумм временно свободных денежных средств на хранение в нескольких банках 
Диверсификация программы реального инвестирования -;Включение в программу инвестирования различных инвестиционных проектов с альтернативной отраслевой и региональной направленностью, что позволяет снизить общий инвестиционный риск по программе.;Расширение круга покупателей продукции предприятия и направлена на уменьшение его кредитного риска.;Позволяет снижать уровень несистематического риска портфеля, не уменьшая при этом уровень его доходности;Размещение крупных сумм временно свободных денежных средств на хранение в нескольких банках 
Диверсификация валютного портфеля ("валютной корзины") предприятия -;Выбор для проведения внешнеэкономических операций нескольких видов валют.;Расширение круга покупателей продукции предприятия и направлена на уменьшение его кредитного риска.;Позволяет снижать уровень несистематического риска портфеля, не уменьшая при этом уровень его доходности;Размещение крупных сумм временно свободных денежных средств на хранение в нескольких банках 
Риск-менеджмент;представляет собой систему управления риском и экономическими, точнее, финансовыми отношениями, возникающими в процессе этого управления.;Расширение круга покупателей продукции предприятия и направлена на уменьшение его кредитного риска.;Позволяет снижать уровень несистематического риска портфеля, не уменьшая при этом уровень его доходности;Размещение крупных сумм временно свободных денежных средств на хранение в нескольких банках 
Укажите формулу WACC;WE RE + WD RD (1-TC);RE= RF +βE (RM – RF)/100%;RE= RF +βE (RM – RF);WE RE + WD RD
Укажите формулу CAPM (МОДА);RE= RF +βE (RM – RF);WE RE + WD RD (1-TC);RE= RF +βE (RM – RF)/100%;WE RE + WD RD
WACC  < норма прибыли =>;прибыль;убыток;дефолт;точка безубыточности  
WACC  > норма прибыли =>;убыток;прибыль;дефолт;точка безубыточности  
Золотой стандарт таргетирования в Узбекистане …;4%;Меньше 10%;2 %;5 %
Центральный банк Узбекистана с …  начинает поэтапный переход к инфляционному таргетированию.;1 января 2020 года;1 сентября 2021 года;1 марта 2022 года;1 декабря 2022 года
Один из главных  методов минимизации инфляционного риска это …;включение в состав предстоящего номинального дохода по финансовым операциям размера инфляционной премии.;хеджирование инфляционного риска;таргетирование;наличие высококвалифицированного финансового аналитика 
Сколько процентов должен быть автономность компании чтобы ему выдали кредит?;60 %;30 %;20 %;10 %
Публичная компания - это;акционерное общество, акции которого обращаются на фондовом рынке свободно, без ограничений;акционерное общество, акции которого обращаются на фондовом рынке свободно, с незначительными ограничениями.;те компании которые публикуют свою деятельность в социальных сетях;те компании которые публикуют свою деятельность в СМИ
Заключение срочных контрактов, используемое для уменьшения риска, связанного с возможным ростом цены товара, называется;хеджированием покупателя;форвардной сделкой;фьючерсной сделкой;хеджированием продавца
Контракт, дающий право купить определенное количество базового актива по оговоренной цене и в определенный срок, называется;опционом колл;опционом пут;фьючерсным контрактом;форвардным контрактом
Стандартный срочный биржевой контракт купли-продажи базового актива, при заключении которого стороны договариваются об уровне цены и сроке по поставки актива, и несут обязательства перед биржей вплоть до его исполнения, называется;фьючерсным контрактом;опционом пут;опционом колл;форвардным контрактом
К методам управления валютным риском можно отнести:;лимитирование, хеджирование;стоп лоссы, хеджирование;диверсификация валютного портфеля;защитные оговорки, хеджирование
Риск, который не зависит от состояния рынка и является спецификой конкретной организации, называется;несистемным;Чистым;спекулятивным;системным
 Риск, связанный с изменениями, вызванными общерыночными колебаниями, и не зависящий от конкретного предприятия, называется;системным;Чистым;спекулятивным;несистемным
Высшим органом управления акционерным обществом является…;общее собрание акционеров;совет директоров;наблюдательный совет;правление
