Savol;Javob1;Javob2;Javob3;Javob4
Списание фактической себестоимости ремонта, осуществленного хозяйственным способом, отражается записью;Дт сч. 8910 «Резервы предстоящих расходов и платежей» — Кт сч. 2310 «Вспомогательные производства»;Дт сч. 2310 «Вспомогательные производства» — Кт сч. 8910 «Резервы предстоящих расходов и платежей»;Дт сч. 8910 «Резервы предстоящих расходов и платежей» — Кт сч. 9430 «Прочие операционные расходы».;Дт сч. 8910 «Резервы предстоящих расходов и платежей» — Кт сч. 6010 «Счета к оплате поставщикам и подрядчикам»;
На стоимость произведенного подрядным способом ремонта делается запись;Дт сч. 8910 «Резервы предстоящих расходов и платежей» — Кт сч. 6010 «Счета к оплате поставщикам и подрядчикам»;Дт сч. 6010 «Счета к оплате поставщикам и подрядчикам» — Кт сч. 8910 «Резервы предстоящих расходов и платежей»;Дт сч. 6010 «Счета к оплате поставщикам и подрядчикам»—Кт сч. 5110 «Расчетный счет».;Дт сч. 8910 «Резервы предстоящих расходов и платежей» — Кт сч. 4010 «Счета к получению от покупателей и заказчиков»;
Затраты по возведению объектов основных средств хозяйственным способом отражаются на счете;0810 «Незавершенное строительство»;0100 «Основные средства»;2310 «Вспомогательные производства»;9430 «Прочие операционные расходы».
Что означает бухгалтерская запись Д-т . 0230 ''Износ машин и оборудования '' К-т 9210 « Выбытие основных средств»?;Списание износа по выбывшим машинам и оборудованиям.;Реализация основных средств.;Начисление амортизации;Нет правильного ответа
Что означает бухгалтерская запись Д-т 2510 ''Общепроизводственные расходы'' К-т 0220 ''Износ зданий''?;Начисление износа по зданиям общецехового назначения;Начисление износа по полученным основным средствам.;Отражение уценки основных средств.;Начисление износа по выбывшим основным средствам
Эмитент после государственной регистрации на сумму объявленного капитала делает запись по дебету счета;4610 «Задолженность учредителей по вкладам в уставный капитал».;8710 «Нераспределенная прибыль (непокрытый убыток)»;8400 «Добавленный капитал»;8300 «Уставный капитал»;
Сумма начисленных процентов по долговым ценным бумагам отражается записью;Дт сч. 4830 «Проценты к получению» — Кт сч. 9530 «Доходы в виде процентов»;Дт сч. 9610 «Расходы в виде процентов»—Кт сч. 6920 «Начисленные проценты»;Дт сч. 6920 «Начисленные проценты»— Кт сч. 5110 «Расчетный счет»;Дт сч. 5110 «Расчетный счет» — Кт сч. 4830 «Проценты к получению».
Предоставление краткосрочных займов другим организациям отражается записью;Дт сч. 5110 «Расчетные счета» — Кт сч. 7820 «Долгосрочные займы»;Дт сч. 5830 «краткосрочные займы выданные» — Кт сч. 5110 «Расчетный счет»;Дт сч. 4890 «Задолженность прочих дебиторов» — Кт сч. 5110 «Расчетные счета».;Дт сч. 4890 «Задолженность прочих дебиторов»—Кт сч. 9590 «Прочие доходы от финансовой деятельности».
Задолженность работников по другим операциям списана на убытки, если по взысканию отказано судом. Отразите данную операцию на бухгалтерских проводках;Д – 9430	К- 4790;Д – 9330	К – 4710;Д – 4790	К – 9430;Д – 9620	К – 4790
Получены кредиты банков под задолженность работников, купивших товары в кредит . Отразите данную операцию на бухгалтерских проводках.;Д - 4710	К - 6810,7810;Д – 6810,7810	К – 4710;Д - 5110,5210	К - 4710;Д – 5100	К - 6010
При получении от покупателей аванса под поставку продукции делается запись по дебету счета 5110 «Расчетный счет» и кредиту счета:;6310 «Авансы, полученные от покупателей и заказчиков»;9010 «Доходы от реализации продукции»;4330 «Прочие авансы выданные»;4010 «Счета к получению от покупателей и заказчиков»
Запись «Дт сч. 6010 "Счета к оплате поставщикам и подрядчикам" — Кт сч. 5110 «Расчетный счет»» означает:;оплату счетов поставщиков;возврат денег покупателям;выдачу аванса под поставку товарно-материальных ценностей ;зачет ранее выданных авансов
Запись «Дт сч. 4860 " Счета к получению по претензиям" — Кт сч. 6010 "Счета к оплате поставщикам и подрядчикам"» означает:;предъявление претензий поставщику;отражение недостачи в пределах норм естественной убыли;отражение недостачи сверх норм естественной убыли;отражение недостачи ТМЦ
Под кредиторской понимается задолженность:;данной организации другому юридическому лицу, своим работникам и другим физическим лицам;другого юридического лица, работников и физических лиц данному предприятию;вышестоящих организаций данному предприятию подотчетных лиц данной организации
Под дебиторской понимается задолженность:;другого юридического лица, работников и физических лиц данной организации;данной организации другому юридическому лицу;данной организации перед вышестоящими организациями;данной организации своим работникам и другим физическим лицам
Излишне зачисленные банком на расчетный счет суммы денежных средств отражаются на счете:;6960 «Счета к оплате по претензиям»;6010 «Счета к оплате поставщикам и подрядчикам»;4860 «Счета к получению по претензиям»;9380 «Безвозмездная финансовая помощь»
Что является обязательством?;Кредиторская задолженность;Денежные средства в кассе;Сырьё и материалы на складе;Добавленный капитал
Методы бухгалтерского учета:;документация, инвентаризация, счета, двойная запись, оценка, калькуляция, баланс, отчетность;документация, инвентаризация, счета, двойная запись;инвентаризация, счета, двойная запись, оценка, документация, баланс, отчетность;документация, инвентаризация, счета, оценка, калькуляция, баланс, отчетность
